set,slot_utc,robust,entry,entry_delay,spread,hour,r5,dOI,imb,liq,rng24,d_hi,d_lo,atr,mfe,t_mfe,mae,t_mae,fp0.5,fp1.0,n1,n5,n15,n30,n60
primary,2026-08-07T12:30:00,1,65027.09,30.455,7.0,12.0,-0.002,0.0,-0.0947,7.7288,25.31,2.6946,1.0051,96.8886,321.41,20.1151,78.22,1.542,adv,fav,-48.74,69.28,202.28,219.41,195.52
primary,2026-08-07T13:45:00,0,65201.56,30.521,7.0,13.0,-0.0013,0.0,0.1845,0.0,26.105,1.1481,1.1245,131.0364,37.02,0.5304,470.83,22.2258,adv,adv,-94.28,-124.75,-368.11,-253.3,-149.17
primary,2026-08-07T14:50:00,0,64953.57,30.595,7.0,14.0,-0.0014,0.0002,0.0424,0.0037,26.19,1.7741,1.3997,156.7093,133.7,37.4137,122.69,9.4774,adv,neither,4.86,-31.88,17.61,21.01,-75.91
primary,2026-08-07T17:10:00,0,64628.1,30.04,7.0,17.0,-0.0014,-0.003,0.2226,0.0073,25.655,4.4536,0.0693,85.5736,210.49,56.5643,164.97,17.6057,fav,adv,2.18,38.79,-79.48,26.06,174.75
primary,2026-08-09T01:25:00,0,64831.06,30.431,7.0,1.0,-0.0013,-0.0002,0.699,0.0,8.96,4.6717,1.1212,27.855,12.43,6.5399,80.41,36.4569,adv,adv,-5.34,-9.25,1.02,-27.34,-57.99
primary,2026-08-09T22:15:00,1,65269.05,30.973,7.0,22.0,-0.0015,-0.0013,-0.4103,0.0,9.44,2.7186,3.1145,64.0614,17.07,0.553,358.06,31.2264,adv,adv,-24.26,-95.58,-258.75,-305.41,-327.24
primary,2026-08-10T00:20:00,1,64963.79,30.922,7.0,0.0,-0.0016,0.0007,0.2385,0.0,10.4,3.0899,1.753,100.2521,51.18,51.513,194.95,19.1876,adv,adv,1.34,-21.36,-110.25,5.16,25.93
primary,2026-08-10T02:15:00,1,64907.2,30.462,7.0,2.0,-0.0027,0.0009,-0.544,0.0137,11.2,4.3544,0.6326,102.5443,256.23,23.9339,61.66,5.6426,adv,fav,-18.74,-41.04,15.97,169.5,88.87
primary,2026-08-10T07:45:00,0,65213.09,30.916,7.0,7.0,-0.0012,0.0011,0.2343,0.0,15.52,2.286,0.6532,50.0164,62.93,36.3313,81.55,52.4951,adv,adv,-25.51,-61.42,7.54,2.84,-68.96
primary,2026-08-10T09:45:00,0,64936.17,30.76,7.0,9.0,-0.0012,-0.0007,0.1039,0.2189,16.94,5.4586,0.5827,51.7421,84.55,15.7025,40.6,4.7911,adv,fav,-21.79,-28.62,54.15,29.11,47.95
primary,2026-08-10T13:30:00,1,64636.49,30.613,7.0,13.0,-0.0038,-0.0003,-0.2327,3.8084,19.735,3.7373,0.5239,90.2593,168.58,59.9326,192.61,18.1431,fav,fav,79.6,-18.26,-132.88,-3.21,158.4
primary,2026-08-10T14:50:00,1,64629.14,30.654,7.0,14.0,-0.0014,-0.001,0.3081,0.0,21.2,1.7509,1.5469,116.0357,30.43,15.9033,500.06,58.1831,adv,adv,-22.05,-66.83,-17.14,-312.04,-461.22
primary,2026-08-10T16:15:00,1,64023.13,30.392,7.0,16.0,-0.0021,-0.0003,0.0246,18.688,22.985,3.5173,0.2154,130.0179,97.09,20.5045,268.87,35.365,adv,adv,-58.09,15.43,29.27,-192.64,-167.24
primary,2026-08-10T18:25:00,1,63826.01,30.183,7.0,18.0,-0.0015,0.0005,-0.309,0.0,25.245,1.7253,0.2251,80.2929,184.26,59.8624,92.91,6.0276,adv,adv,-14.03,3.15,-36.31,-0.5,165.61
primary,2026-08-10T19:35:00,1,63890.15,30.214,7.0,19.0,-0.0017,-0.0034,0.0751,0.0,26.355,2.1942,2.07,67.2379,190.6,56.249,33.83,0.7333,adv,fav,-12.86,79.41,42.97,94.82,161.16
primary,2026-08-10T22:30:00,0,63879.07,30.035,7.0,22.0,-0.0011,-0.0005,0.5288,0.0,26.645,3.5441,0.1542,52.4079,82.09,24.513,14.57,59.6364,fav,fav,17.7,21.63,54.25,42.85,-6.38
primary,2026-08-11T01:15:00,0,63952.34,30.754,7.0,1.0,-0.0012,0.0009,-0.13,0.0,24.62,1.201,1.7917,56.0629,73.11,45.6824,64.31,21.9407,fav,fav,0.62,23.24,26.78,34.98,32.35
primary,2026-08-11T06:50:00,0,63843.73,30.655,7.0,6.0,-0.0011,0.0003,-0.0831,0.0,20.82,3.3287,1.3974,44.5821,199.64,57.0932,12.54,24.8425,fav,fav,-0.18,62.21,62.0,0.2,137.0
primary,2026-08-11T12:20:00,0,64246.29,30.386,7.0,12.0,-0.0013,,-0.1314,0.0,19.98,4.2065,0.077,45.8343,87.63,9.8034,113.9,59.7027,fav,fav,-17.33,15.14,57.23,9.46,-104.21
primary,2026-08-11T13:50:00,0,64072.87,30.363,7.0,13.0,-0.001,0.0019,0.2709,0.0,19.675,3.0197,1.0775,82.5771,133.81,20.7045,422.84,56.6491,fav,fav,-5.66,35.07,60.87,-150.88,-396.81
primary,2026-08-11T14:50:00,1,63688.06,30.989,7.0,14.0,-0.0029,-0.0008,0.3748,14.4592,19.675,4.0715,0.2693,128.2379,126.85,33.7533,298.49,46.8263,fav,adv,21.45,12.62,35.64,53.8,-282.87
primary,2026-08-11T15:50:00,0,63422.52,30.094,7.0,15.0,-0.001,0.0003,-0.3401,0.0,19.77,3.3115,0.2463,119.5493,177.14,15.507,36.58,51.492,fav,fav,47.41,84.86,142.99,151.36,21.58
primary,2026-08-11T18:25:00,1,63432.42,30.802,7.0,18.0,-0.0018,0.0001,-0.2226,0.0,19.66,2.1803,0.4563,63.685,11.56,1.6494,270.14,41.0423,adv,adv,-5.37,-23.09,-179.09,-144.27,-123.62
primary,2026-08-11T23:00:00,0,63523.94,30.31,7.0,23.0,-0.0012,0.0001,0.0039,0.0,20.26,3.787,0.5147,48.1807,72.0,46.695,42.25,12.6258,adv,fav,-15.84,-6.6,-27.71,28.38,-11.57
primary,2026-08-12T02:30:00,0,63769.35,30.274,7.0,2.0,-0.0011,0.0007,-0.203,0.2009,20.445,1.6329,1.9556,55.4364,7.79,0.0765,130.86,41.7705,adv,adv,-23.27,-53.75,-61.07,-40.87,-17.0
primary,2026-08-12T04:25:00,0,63709.48,30.641,7.0,4.0,-0.0012,0.0001,-0.3096,0.0,20.9,2.3022,0.7308,55.2,77.82,59.811,50.85,35.0102,adv,fav,-25.19,-44.38,-9.87,-8.05,68.92
primary,2026-08-12T12:30:00,1,64143.82,30.007,7.0,12.0,-0.0028,-0.006,-0.3168,3.6812,22.88,3.1073,1.3434,91.0543,-7.0,0.0,329.4,56.295,adv,adv,-104.98,-136.91,-191.55,-185.77,-261.85
primary,2026-08-12T13:50:00,1,63807.08,30.602,7.0,13.0,-0.0015,-0.0006,-0.1333,0.0,23.51,2.4908,0.1285,120.9793,59.21,16.1867,407.16,59.812,adv,adv,-7.67,-63.32,-88.53,-128.82,-389.37
primary,2026-08-12T14:50:00,1,63429.71,30.613,7.0,14.0,-0.002,-0.0022,0.0429,1.0907,23.545,3.3044,0.1974,133.1807,73.24,47.9777,186.81,4.5711,adv,adv,-51.71,-150.48,-42.14,-19.39,13.08
primary,2026-08-12T17:20:00,0,63362.67,30.879,7.0,17.0,-0.0012,-0.0006,0.0345,0.0,23.68,2.537,0.1524,59.5971,107.1,26.5723,64.25,55.5496,fav,fav,-14.24,-14.04,39.46,29.33,-26.58
