set,slot_utc,robust,entry,entry_delay,spread,hour,r5,dOI,imb,liq,rng24,d_hi,d_lo,atr,mfe,t_mfe,mae,t_mae,fp0.5,fp1.0,n1,n5,n15,n30,n60
primary,2026-08-20T02:20:00,1,69469.57,30.25,7.0,2.0,-0.0015,-0.0003,0.1976,0.0,38.015,2.7041,1.5176,143.0736,40.27,5.3545,628.41,45.9148,adv,adv,-30.43,4.02,-162.02,-225.82,-512.17
primary,2026-08-20T03:20:00,1,68969.4,30.694,7.0,3.0,-0.0014,-0.0009,-0.3807,0.0,40.52,4.3789,1.0042,124.2171,364.84,45.2178,90.91,1.5281,adv,fav,-71.33,-26.16,57.29,128.87,309.33
primary,2026-08-20T04:30:00,1,69223.85,30.685,7.0,4.0,-0.0018,,-0.1073,0.0,43.44,1.2721,2.0772,106.0514,402.51,50.7677,25.67,0.4208,fav,fav,-11.95,24.17,162.07,223.5,340.4
primary,2026-08-20T05:35:00,0,69510.2,30.992,7.0,5.0,-0.0011,0.0006,0.4849,0.0,44.43,1.1393,2.8533,105.0321,205.09,55.1365,221.14,36.468,adv,adv,-39.67,-10.8,-190.8,-183.91,174.01
primary,2026-08-20T07:10:00,1,69752.58,30.238,7.0,7.0,-0.0029,0.0015,-0.4562,0.6692,47.14,1.738,3.4932,131.6886,1579.11,59.2234,301.71,16.9466,adv,adv,-29.78,-135.87,-178.71,-230.78,1371.77
primary,2026-08-20T08:20:00,1,71168.27,30.217,7.0,8.0,-0.0019,-0.0069,-0.0097,0.3178,50.22,1.3685,6.1561,278.4064,840.08,56.1697,138.99,0.808,fav,fav,-110.59,54.24,294.96,556.22,725.63
primary,2026-08-20T09:25:00,1,71731.8,30.049,7.0,9.0,-0.0026,0.0012,0.0243,0.0,53.88,0.9821,2.1537,285.1457,707.62,49.6632,115.95,26.6123,fav,fav,116.4,191.88,196.62,-55.05,187.93
primary,2026-08-20T10:30:00,1,71792.13,30.386,7.0,10.0,-0.0022,,0.243,9.8289,57.675,2.6527,0.7043,245.3271,479.25,59.7601,99.59,7.5195,fav,fav,-8.75,-19.31,60.22,100.8,471.25
primary,2026-08-20T11:40:00,1,72149.49,30.238,7.0,11.0,-0.0017,0.002,-0.1312,0.1389,60.715,0.7494,2.3204,169.8436,77.39,2.7069,714.6,23.7673,adv,adv,8.07,-56.8,-271.35,-384.79,-549.01
primary,2026-08-20T12:40:00,1,71600.49,30.125,7.0,12.0,-0.0024,-0.0011,0.0718,0.0,63.22,3.0707,0.7902,205.1279,446.63,23.5083,538.22,51.6605,adv,fav,-30.54,21.51,241.92,375.7,-12.34
primary,2026-08-20T14:15:00,1,71502.45,30.145,7.0,14.0,-0.0034,-0.0032,0.0111,0.0498,64.8,1.871,1.6926,257.9864,1027.67,43.7333,205.74,9.1195,fav,fav,30.12,95.7,37.85,93.88,774.52
primary,2026-08-20T15:20:00,1,72096.86,30.626,7.0,15.0,-0.0023,0.0018,0.0649,0.0599,65.745,1.4722,2.6853,296.6664,706.89,6.8053,29.5,0.0906,fav,fav,32.42,224.8,83.44,327.68,194.12
primary,2026-08-20T17:05:00,0,72572.18,30.56,7.0,17.0,-0.0013,-0.001,0.1487,0.0,65.5,1.6597,2.1161,194.4893,385.36,42.2855,115.26,55.9857,fav,fav,32.72,67.56,154.22,198.47,-39.32
primary,2026-08-20T18:30:00,1,72450.56,30.18,7.0,18.0,-0.0031,-0.0012,0.2157,1.7067,66.475,3.0033,0.4746,169.9707,184.18,58.0374,160.78,26.3393,fav,fav,42.84,-23.27,41.38,-135.58,125.7
primary,2026-08-20T20:35:00,1,72766.4,31.01,7.0,20.0,-0.0019,0.001,-0.0055,4.4436,66.52,2.2672,1.413,138.1764,70.97,35.4822,232.37,28.1868,adv,adv,-34.32,-3.98,-138.11,-140.96,13.66
primary,2026-08-20T22:00:00,1,72581.35,30.746,7.0,22.0,-0.0032,-0.0003,0.2333,0.975,63.56,2.392,0.9524,108.4943,283.67,47.7348,51.01,11.1453,fav,fav,0.11,46.53,46.98,175.41,124.12
primary,2026-08-20T23:35:00,0,73130.18,30.38,7.0,23.0,-0.0014,0.0021,0.1095,0.0,62.565,1.8619,3.263,150.86,847.9,51.689,174.98,13.178,adv,adv,-30.14,-93.96,-80.9,172.06,446.31
primary,2026-08-21T00:50:00,0,73580.71,30.056,7.0,0.0,-0.0013,0.0024,0.0778,0.0,63.15,1.6623,2.5057,241.1529,2183.9,52.778,21.64,0.6573,fav,fav,45.42,71.55,348.94,1018.28,1722.7
primary,2026-08-21T01:50:00,1,75315.41,30.094,7.0,1.0,-0.0026,0.0031,-0.1604,0.112,65.22,1.2229,4.7351,370.1829,61.24,0.6948,965.72,58.2692,adv,adv,37.73,-273.83,-461.83,-606.45,-922.58
primary,2026-08-21T03:50:00,0,74675.84,30.451,7.0,3.0,-0.0016,0.0018,-0.1036,1.1551,68.245,0.9931,2.64,177.2771,330.69,53.7145,221.4,4.394,adv,adv,-27.97,-110.67,163.4,93.9,320.33
primary,2026-08-21T05:25:00,0,75118.9,30.065,7.0,5.0,-0.0013,-0.0027,-0.0212,0.0169,70.415,2.0201,2.0837,179.6536,384.43,37.5956,61.76,2.5056,fav,fav,14.0,19.79,112.46,254.86,219.58
primary,2026-08-21T06:40:00,1,75299.2,30.378,7.0,6.0,-0.0043,-0.0009,-0.142,1.1801,73.325,1.8932,1.0913,215.3386,1579.61,31.1367,35.5,0.5369,fav,fav,-29.75,193.61,279.98,996.22,1297.85
primary,2026-08-21T07:45:00,0,76436.55,30.28,7.0,7.0,-0.0018,0.0042,-0.06,0.003,75.885,1.3998,3.3162,318.45,1787.99,59.9053,263.07,9.0372,adv,fav,-107.63,-93.73,145.14,710.92,1744.63
primary,2026-08-21T09:00:00,1,77880.38,30.041,7.0,9.0,-0.0177,-0.0235,-0.1642,147.7635,76.91,2.8831,2.5209,568.61,477.09,40.8073,653.31,1.7313,adv,adv,-267.91,62.39,-335.12,-70.17,-153.31
primary,2026-08-21T10:00:00,1,77739.07,30.693,7.0,10.0,-0.003,0.0031,0.2103,0.0,78.575,1.1144,0.9112,558.0614,496.43,11.3384,194.43,58.4512,fav,neither,-75.6,204.51,363.48,-61.2,70.07
primary,2026-08-21T11:10:00,1,77484.56,30.235,7.0,11.0,-0.0024,,-0.1652,15.5711,79.72,3.0727,0.7505,245.5314,168.35,8.5545,1093.77,19.232,adv,adv,-47.71,-90.51,-179.04,-647.94,-633.39
primary,2026-08-21T12:50:00,1,77210.89,30.552,7.0,12.0,-0.0026,-0.0012,0.1562,0.0135,82.91,0.8706,2.4151,294.6929,493.93,55.6432,1012.0,40.4939,adv,adv,-130.88,-86.18,-63.38,-249.66,138.98
primary,2026-08-21T13:50:00,0,77361.11,30.315,7.0,13.0,-0.0019,-0.0012,-0.1519,3.689,84.14,1.0073,3.3617,344.68,88.57,1.6504,847.99,23.8561,adv,adv,-76.62,-216.73,-344.93,-269.81,-115.74
primary,2026-08-21T16:05:00,0,77089.19,30.014,7.0,16.0,-0.0015,,-0.0839,5.6919,85.985,3.3095,0.9244,234.6364,605.96,58.3509,352.16,4.5894,adv,adv,-173.24,-244.97,12.43,167.86,496.88
primary,2026-08-21T17:15:00,1,77253.31,30.382,7.0,17.0,-0.0022,-0.0017,0.2895,0.0,85.985,2.1582,1.1132,206.3471,376.67,12.3685,106.8,3.9191,adv,fav,40.46,14.7,305.22,141.21,181.32
primary,2026-08-21T18:45:00,1,76724.6,30.296,7.0,18.0,-0.0032,,0.263,5.3534,86.425,4.2753,0.7752,188.6036,616.25,39.6754,21.5,3.2633,fav,fav,87.02,99.7,176.0,303.09,376.49
primary,2026-08-21T19:55:00,0,76849.91,30.09,7.0,20.0,-0.0017,-0.0016,0.2254,0.0,87.45,2.5339,0.1555,195.1264,683.43,51.489,7.0,0.0,fav,fav,47.43,218.41,465.29,620.63,590.1
primary,2026-08-21T21:35:00,1,78115.03,30.87,7.0,21.0,-0.0052,0.0016,-0.2461,0.5114,91.4,1.6552,3.5425,232.85,642.16,26.7327,55.35,50.6104,fav,fav,-0.96,209.18,471.31,562.57,366.98
primary,2026-08-21T22:45:00,1,78266.99,30.135,7.0,22.0,-0.0029,-0.0024,0.0013,0.0,95.31,1.6268,0.6716,303.4743,453.79,31.7884,153.18,51.984,fav,fav,171.08,260.23,152.92,399.38,-92.61
primary,2026-08-22T00:00:00,0,78103.84,30.804,7.0,0.0,-0.0019,-0.0024,-0.0102,4.1542,95.985,2.8906,0.1102,214.6407,20.46,0.1611,444.02,43.348,adv,adv,-225.79,-159.79,-74.97,-200.25,-3.87
primary,2026-08-22T02:45:00,0,78367.16,30.842,7.0,2.0,-0.0017,-0.0046,-0.0252,0.2645,91.95,0.9282,3.1891,185.9014,471.24,40.5585,24.16,24.7334,fav,fav,27.27,35.01,224.34,144.58,224.15
primary,2026-08-22T04:15:00,0,78308.18,30.74,7.0,4.0,-0.0018,0.0009,-0.2254,0.9636,92.065,3.0687,0.7131,173.9264,502.45,22.3163,1791.72,51.0373,fav,fav,-38.51,188.93,293.63,221.85,-1241.48
primary,2026-08-22T05:15:00,1,77088.15,30.266,7.0,5.0,-0.0046,,0.3886,22.8164,92.79,5.0881,1.675,339.2221,472.25,15.6904,335.02,2.2323,fav,fav,-111.66,23.71,248.91,308.05,182.04
primary,2026-08-22T06:30:00,0,77111.42,30.025,7.0,6.0,-0.0021,-0.0015,0.4125,7.3435,94.135,1.7372,0.5727,260.4671,557.82,29.6245,7.83,0.0169,fav,fav,99.11,402.27,383.48,433.69,286.9
primary,2026-08-22T09:45:00,1,77026.76,30.684,7.0,9.0,-0.003,-0.0046,0.0307,11.7338,82.805,2.3339,1.3301,154.1664,155.26,55.033,519.28,32.8402,adv,adv,-40.03,-109.08,-133.95,-336.31,31.8
primary,2026-08-22T14:35:00,0,77046.57,30.301,7.0,14.0,-0.0019,,-0.2689,0.0,71.51,2.622,0.8263,121.9693,43.26,53.4132,190.28,42.5886,adv,adv,-32.68,-81.59,-117.19,-76.86,-48.32
primary,2026-08-22T17:25:00,0,77134.71,30.098,7.0,17.0,-0.0025,0.0001,-0.1014,0.0103,65.395,3.7493,0.7864,111.2279,239.23,20.5813,31.99,9.5051,fav,fav,18.25,35.21,70.76,121.7,156.01
primary,2026-08-22T21:00:00,1,77105.14,30.433,7.0,21.0,-0.0028,-0.0029,0.3244,0.6886,58.37,4.2022,1.028,87.9343,109.42,14.8485,350.55,57.1477,fav,fav,-3.95,27.71,95.58,-17.16,-66.88
primary,2026-08-23T04:15:00,0,76789.4,30.541,7.0,4.0,-0.0025,0.0021,-0.4763,0.0062,45.48,2.51,1.0425,121.675,201.98,7.9567,1225.97,57.15,fav,fav,9.35,115.14,49.35,-81.83,-722.19
primary,2026-08-23T06:05:00,0,75928.67,30.952,7.0,6.0,-0.0025,-0.0009,-0.075,2.4389,44.59,1.9288,1.3811,261.9136,422.55,22.9342,24.79,1.7362,fav,fav,37.49,168.92,279.18,306.39,295.26
primary,2026-08-23T13:25:00,0,77379.96,30.091,7.0,13.0,-0.0025,0.0004,0.3535,0.0,40.05,3.0404,2.7673,126.905,256.46,46.1452,72.52,37.2185,fav,fav,39.41,-3.43,29.5,100.68,30.56
primary,2026-08-23T14:40:00,1,77154.52,30.119,7.0,14.0,-0.0052,,-0.0327,27.6711,40.425,2.6552,2.0628,182.8129,170.11,20.4621,254.34,33.892,adv,adv,-89.78,35.1,-29.25,-2.26,40.51
primary,2026-08-23T17:00:00,0,77263.19,31.156,7.0,17.0,-0.0025,0.0001,0.1777,0.0,40.22,1.8709,1.2435,109.8779,109.8,17.6866,132.84,26.687,fav,adv,36.71,-4.19,77.6,-21.31,-121.51
primary,2026-08-23T21:35:00,1,77640.93,30.093,7.0,21.0,-0.0037,-0.0044,-0.2334,0.0,41.56,3.042,1.9779,136.5664,344.55,20.314,114.68,2.9848,adv,fav,-47.77,51.37,150.2,121.07,22.93
primary,2026-08-24T00:40:00,0,77243.85,30.388,7.0,0.0,-0.0022,-0.0016,0.1035,0.3444,45.155,3.2429,0.2879,170.5557,479.7,18.9988,107.34,59.8874,adv,fav,-67.01,174.28,396.12,158.59,-54.4
primary,2026-08-24T01:55:00,1,76943.55,30.05,7.0,2.0,-0.0036,-0.0002,0.0528,4.3794,46.96,4.4389,0.2237,176.5079,605.15,36.0405,76.81,2.0316,fav,fav,15.87,186.84,439.58,479.57,576.13
primary,2026-08-24T04:45:00,0,76889.64,30.041,7.0,4.0,-0.0021,-0.0007,0.4477,0.0,49.905,3.0043,0.1764,120.155,347.88,24.558,244.93,2.631,adv,adv,-39.47,-65.56,69.96,132.9,170.28
primary,2026-08-24T08:20:00,0,76907.89,30.653,7.0,8.0,-0.0026,-0.0027,0.1265,2.3782,48.985,5.6538,0.0742,137.2593,477.14,50.6291,94.36,3.0995,adv,fav,2.12,8.01,166.13,114.88,316.75
primary,2026-08-24T10:50:00,0,77606.91,30.143,7.0,10.0,-0.0024,0.0,0.0068,0.0,50.685,2.4338,0.6564,164.5179,982.86,49.6934,191.02,6.9591,adv,adv,-47.28,-43.32,140.93,245.77,548.44
primary,2026-08-24T12:00:00,1,78186.82,30.46,7.0,12.0,-0.003,0.0013,-0.1766,0.0,52.485,1.7896,2.8572,227.1186,1125.54,51.7131,239.27,10.8427,adv,adv,-12.06,-15.75,110.78,404.28,908.91
primary,2026-08-24T13:00:00,0,79108.97,30.148,7.0,13.0,-0.0021,-0.0038,0.0785,0.0,55.06,0.7955,4.4525,260.0614,318.45,5.8489,1287.62,40.5652,fav,fav,-111.2,140.66,-113.4,-306.99,-401.27
primary,2026-08-24T14:20:00,0,79002.24,30.251,7.0,14.0,-0.0024,-0.0,0.1006,12.9841,56.32,1.7112,3.1641,372.11,925.09,59.9671,36.97,0.0211,fav,fav,36.17,335.5,617.89,290.36,854.35
primary,2026-08-24T15:35:00,1,79528.61,30.568,7.0,15.0,-0.0032,-0.0023,-0.0251,0.1613,58.765,1.5363,0.9537,306.0543,331.6,38.3367,738.16,17.3935,adv,adv,43.92,-291.16,-491.53,-229.61,-108.15
primary,2026-08-24T16:40:00,1,79366.92,30.236,7.0,16.0,-0.0031,-0.0044,0.1452,0.0554,60.83,1.6621,1.917,298.8886,28.24,2.5352,919.61,39.8683,adv,adv,-79.11,-89.63,-444.89,-429.35,-776.25
primary,2026-08-24T19:15:00,1,78742.3,30.945,7.0,19.0,-0.0039,-0.0012,-0.1517,0.4026,66.64,1.9515,0.3506,193.21,215.84,18.8538,204.44,44.1046,adv,fav,16.7,28.96,142.16,29.29,4.56
primary,2026-08-25T02:45:00,0,80436.99,30.113,7.0,2.0,-0.0022,0.0006,-0.1135,2.3748,66.96,2.536,2.8787,328.8707,505.51,17.6325,93.99,58.7653,fav,fav,51.91,235.81,421.7,341.86,77.85
primary,2026-08-25T07:45:00,1,79872.36,30.084,7.0,7.0,-0.0075,-0.0024,0.2835,23.4315,71.845,5.4213,1.206,167.49,365.96,35.0866,575.57,0.944,adv,adv,-488.97,-228.5,-127.7,120.07,27.42
primary,2026-08-25T08:45:00,0,79911.78,30.313,7.0,8.0,-0.0026,0.0019,-0.2593,0.0,72.745,1.3328,2.4693,247.6371,28.5,34.017,475.4,59.9248,adv,adv,-50.83,-76.85,-216.05,-87.9,-456.58
primary,2026-08-25T09:50:00,1,79097.47,30.436,7.0,9.0,-0.0063,-0.0144,0.2975,38.9288,74.04,4.0663,1.2318,208.1293,373.02,52.2185,130.13,6.7828,fav,fav,116.4,70.53,176.67,193.4,275.12
primary,2026-08-25T11:40:00,0,79126.79,30.141,7.0,11.0,-0.0022,-0.0011,-0.0177,0.0,73.285,2.5295,0.5834,139.0007,55.66,2.1773,514.49,40.8605,adv,adv,11.11,-26.74,0.16,-69.19,-215.33
primary,2026-08-25T13:05:00,0,78881.49,30.374,7.0,13.0,-0.0024,-0.0017,-0.0756,0.0,71.845,0.9503,1.2266,216.6121,336.19,25.9814,784.83,42.758,adv,adv,-94.84,-84.31,-97.48,81.02,37.04
primary,2026-08-25T19:25:00,1,78910.48,30.687,7.0,19.0,-0.0031,-0.0006,0.2017,0.0145,64.175,2.9966,0.1073,118.8,72.31,29.688,249.33,33.7595,adv,adv,-37.02,22.73,-105.83,41.05,-132.34
primary,2026-08-25T20:45:00,1,78303.09,30.058,7.0,20.0,-0.003,-0.0046,0.4839,7.52,63.6,3.8352,0.7009,178.1393,342.04,50.2438,471.57,17.7154,fav,adv,22.93,-54.25,-50.23,-18.06,267.81
primary,2026-08-25T22:25:00,0,78581.1,30.257,7.0,22.0,-0.0028,-0.0001,0.1651,0.0,65.58,2.7167,1.4434,154.5343,376.37,44.7266,13.25,0.0965,fav,fav,96.35,228.34,220.4,278.16,98.61
primary,2026-08-26T00:05:00,1,78335.16,30.522,7.0,0.0,-0.003,0.0019,-0.4242,0.9856,66.675,3.6274,0.2163,172.5243,560.78,56.2205,37.06,0.4818,fav,fav,81.26,73.63,199.32,45.86,402.1
primary,2026-08-26T08:50:00,0,78673.97,30.94,7.0,8.0,-0.0029,-0.0003,-0.015,1.1181,58.335,3.7231,0.2967,118.4207,199.43,11.9424,450.67,51.839,adv,fav,3.82,32.5,135.84,-278.46,-265.28
primary,2026-08-26T12:30:00,1,78439.34,30.761,7.0,12.0,-0.0038,-0.0089,-0.5274,7.3067,56.055,1.398,2.6765,191.86,9.76,0.486,551.81,51.359,adv,adv,-32.88,-225.52,-71.36,-247.15,-146.69
primary,2026-08-26T15:30:00,0,77976.14,30.242,7.0,15.0,-0.0024,-0.0005,-0.1246,0.0,55.61,1.422,1.7601,203.2364,187.94,33.0972,53.22,0.5979,fav,neither,-33.16,76.36,126.9,94.95,121.02
primary,2026-08-27T09:30:00,1,80209.64,30.895,7.0,9.0,-0.0035,0.0004,-0.2262,0.751,48.705,1.6995,2.848,189.3743,118.92,1.4548,874.94,51.3033,fav,adv,39.5,22.95,-43.52,-143.11,-567.78
primary,2026-08-27T11:25:00,0,79455.71,30.698,7.0,11.0,-0.0028,,0.1335,0.0,49.53,1.6752,0.4865,192.2679,138.53,57.4303,292.89,20.6477,fav,adv,-51.17,2.78,10.92,60.81,36.25
primary,2026-08-27T13:30:00,0,79167.08,30.093,7.0,13.0,-0.0024,-0.0037,-0.0277,1.1947,48.22,2.6573,0.6439,122.8164,835.83,59.6967,269.65,13.1119,fav,fav,36.0,57.01,-46.18,570.4,831.33
primary,2026-08-27T14:45:00,1,80129.67,30.214,7.0,14.0,-0.0032,-0.0013,0.0258,0.0,48.08,0.9872,3.9004,277.1086,681.18,23.6733,105.57,4.5106,fav,fav,10.63,-32.43,112.76,476.41,269.93
primary,2026-08-27T16:05:00,0,80260.81,31.013,7.0,16.0,-0.0025,0.0008,0.1751,0.0773,48.47,2.36,0.2337,234.5507,389.96,34.0986,24.08,52.8293,fav,fav,80.94,152.83,252.81,148.38,297.3
primary,2026-08-27T17:40:00,0,80507.65,30.809,7.0,17.0,-0.0022,-0.0005,0.1802,0.0014,49.57,2.0397,1.4926,179.1607,72.06,5.6946,762.7,36.4066,adv,adv,-14.27,19.92,-65.27,-350.76,-587.84
primary,2026-08-28T01:35:00,0,80970.8,30.436,7.0,1.0,-0.0026,-0.0003,-0.3864,0.228,49.705,2.5131,2.8541,214.9414,24.9,1.7067,1146.74,50.6119,adv,adv,-76.09,-111.7,-309.34,-516.43,-894.85
primary,2026-08-28T08:45:00,0,79512.09,30.262,7.0,8.0,-0.0025,-0.0037,0.3622,2.0853,52.58,3.2933,0.363,103.9543,100.77,4.4126,290.03,14.6698,fav,adv,44.15,29.25,-175.36,-93.69,-229.48
primary,2026-08-28T13:35:00,0,79110.85,30.085,7.0,13.0,-0.0021,0.0003,0.193,0.0,48.455,2.9011,0.7389,131.2914,617.97,19.8954,681.23,32.8219,adv,fav,43.74,-41.99,278.63,-242.17,467.95
primary,2026-08-28T14:45:00,1,79300.72,30.401,7.0,14.0,-0.0031,-0.0001,0.2322,4.5919,48.715,1.1116,2.2345,388.2679,575.33,9.7219,613.51,59.533,fav,fav,47.92,178.6,188.48,119.11,-575.84
primary,2026-08-28T15:55:00,1,78354.47,30.014,7.0,16.0,-0.0028,0.0048,0.2367,25.2047,48.99,6.1365,0.1745,248.5257,54.19,0.3851,1494.59,24.8734,adv,adv,-173.27,-261.62,-513.26,-826.78,-623.8
primary,2026-08-30T17:15:00,0,78941.24,30.09,7.0,17.0,-0.0022,0.0025,0.5738,0.0804,22.665,2.8452,0.0484,164.7957,135.48,25.5683,192.2,50.5509,adv,adv,5.49,-116.58,57.62,73.15,-80.71
primary,2026-08-30T20:40:00,1,78559.31,30.52,7.0,20.0,-0.0028,-0.0061,0.0543,17.3172,23.585,3.4961,1.3643,106.1029,180.86,7.9923,349.35,16.8708,fav,fav,20.22,122.51,-25.71,-42.45,67.59
primary,2026-08-30T22:20:00,0,78310.49,30.081,7.0,22.0,-0.0021,-0.0041,0.1375,0.0029,25.44,3.6564,0.137,134.4286,234.02,15.6507,490.14,57.9168,fav,fav,19.85,-11.87,149.69,101.28,-261.3
primary,2026-08-30T23:20:00,1,78061.19,30.137,7.0,23.0,-0.0047,0.0014,0.2774,11.2942,27.275,2.8761,1.4022,169.2614,20.86,1.2374,1082.9,21.9792,adv,adv,-24.38,-320.8,-511.4,-485.58,-105.04
primary,2026-08-31T01:00:00,0,77745.02,30.647,7.0,1.0,-0.0021,,0.2293,0.0,30.06,2.3833,1.7562,181.8086,199.62,34.0761,244.09,57.9439,adv,adv,-44.73,-78.65,57.1,-59.37,-79.97
primary,2026-08-31T02:50:00,0,77427.08,30.592,7.0,2.0,-0.0021,-0.0003,-0.0509,1.0871,34.285,4.2104,0.1326,134.6779,437.61,50.4941,62.12,0.7481,fav,fav,-40.42,-9.32,151.99,285.9,328.22
primary,2026-08-31T04:00:00,0,77588.68,30.535,7.0,4.0,-0.0022,-0.0021,0.5,0.0,36.13,2.4511,0.8298,114.0329,111.95,1.8611,146.76,28.3174,fav,adv,33.47,21.99,-69.71,-144.65,97.05
primary,2026-08-31T05:35:00,0,77919.13,30.829,7.0,5.0,-0.002,-0.0005,-0.1132,0.0,38.18,1.5117,2.9864,154.1264,200.67,38.6675,87.68,26.2302,fav,fav,28.72,55.3,79.3,51.5,190.57
primary,2026-08-31T12:20:00,0,78143.79,30.432,7.0,12.0,-0.0024,-0.0002,-0.27,0.0451,45.975,3.3979,0.0808,118.665,32.51,37.1868,478.51,15.8517,adv,adv,-105.34,-129.24,-274.82,-380.5,-181.47
primary,2026-08-31T14:20:00,1,77725.57,30.111,7.0,14.0,-0.003,0.0006,-0.0634,0.0,48.18,2.1633,0.1027,250.155,947.99,35.034,8.82,0.0003,fav,fav,106.79,248.55,460.0,677.27,590.8
primary,2026-08-31T18:20:00,0,78850.52,31.473,7.0,18.0,-0.002,-0.0008,-0.2921,0.0,51.145,1.5396,2.5261,149.9914,401.27,48.6981,25.73,0.0633,fav,fav,6.36,37.73,128.54,161.01,192.73
primary,2026-08-31T23:00:00,0,78458.83,30.149,7.0,23.0,-0.0019,-0.0004,-0.3127,2.8492,50.4,6.3269,0.9723,81.59,186.21,59.9684,46.48,6.6522,adv,fav,-6.28,4.1,68.23,65.01,182.18
primary,2026-09-01T00:50:00,0,78622.53,30.605,7.0,0.0,-0.0019,0.0001,-0.1319,0.0,47.775,2.8963,0.9628,92.5643,157.28,11.0287,280.31,35.006,adv,fav,-0.62,35.95,31.54,-92.54,-232.56
primary,2026-09-01T07:35:00,1,78554.39,30.435,7.0,7.0,-0.0029,0.0004,0.0192,3.966,45.235,4.071,0.341,84.8971,111.38,10.1876,745.62,52.4545,adv,fav,-78.93,30.2,95.79,-248.65,-667.15
primary,2026-09-01T13:00:00,0,77895.04,30.893,7.0,13.0,-0.0019,-0.001,0.1085,0.0,45.235,1.6417,1.3735,143.8307,368.46,56.2707,506.36,1.3168,adv,adv,-61.71,-128.1,-143.41,-141.43,180.21
primary,2026-09-01T15:00:00,1,77826.39,30.209,7.0,15.0,-0.0041,-0.0063,0.2862,1.963,45.175,3.2441,0.252,179.2343,244.3,46.2132,137.18,6.8642,adv,fav,-22.08,-113.2,0.68,33.11,94.03
primary,2026-09-01T16:30:00,0,77468.23,30.124,7.0,16.0,-0.0018,-0.0008,-0.3048,0.0,44.485,4.3286,0.2798,139.9886,232.53,58.904,208.92,1.4597,adv,adv,-14.84,-3.04,99.69,90.83,183.99
primary,2026-09-01T18:15:00,0,77069.66,30.17,7.0,18.0,-0.0017,-0.0017,-0.0271,13.4742,44.08,4.6095,0.1531,137.6707,219.25,44.5189,702.74,25.1313,adv,adv,-7.48,-3.08,-181.23,-248.14,156.23
primary,2026-09-01T21:05:00,0,77143.54,30.287,7.0,21.0,-0.0017,-0.0054,0.3169,0.0,44.785,3.1978,0.1531,110.44,137.51,53.5293,274.5,7.4092,adv,adv,-13.85,-71.68,37.91,-36.0,101.36
primary,2026-09-02T00:25:00,0,77208.42,30.353,7.0,0.0,-0.0018,-0.0002,-0.3162,0.0,46.48,3.6308,0.2559,108.9993,121.78,42.3802,148.73,59.8053,fav,adv,32.83,-10.92,-17.2,-16.05,-94.95
primary,2026-09-02T01:25:00,1,77125.47,30.493,7.0,1.0,-0.0026,0.0001,-0.1734,0.0,46.755,1.7597,0.5263,118.3329,174.32,58.3968,458.02,19.9595,adv,adv,-35.16,-150.54,-286.55,-136.0,90.85
primary,2026-09-02T04:05:00,0,77320.65,30.412,7.0,4.0,-0.0018,-0.0008,0.5828,0.0,48.2,3.1189,0.0397,141.5664,253.17,35.8167,87.57,6.4103,adv,fav,0.56,9.47,36.91,172.38,130.93
primary,2026-09-02T08:40:00,0,76927.04,30.714,7.0,8.0,-0.0017,-0.0001,-0.1639,5.0429,46.815,5.9782,0.3995,106.0614,88.73,18.0225,463.29,59.0457,fav,adv,54.95,-153.31,-53.62,-17.06,-426.14
primary,2026-09-02T10:00:00,0,76613.16,30.541,7.0,10.0,-0.0017,0.0017,-0.3767,0.0,48.065,2.4182,1.1015,163.78,57.44,54.836,436.16,45.8169,adv,adv,-62.54,-80.83,35.99,-108.76,-81.9
primary,2026-09-02T11:15:00,1,76516.57,31.389,7.0,11.0,-0.0025,-0.0026,-0.0108,0.0,48.7,1.3219,2.1378,157.2,361.24,57.9635,208.83,6.0587,adv,adv,-62.6,-166.79,86.51,43.37,276.66
primary,2026-09-02T13:45:00,1,77102.55,30.733,7.0,13.0,-0.0036,-0.0025,-0.196,1.3153,48.795,1.5751,2.7767,195.7664,366.39,31.7254,159.36,5.1425,fav,fav,-3.48,-131.08,-60.48,138.19,85.32
primary,2026-09-02T15:05:00,1,76785.29,30.61,7.0,15.0,-0.003,0.0009,0.3765,0.761,48.925,3.2069,0.0629,214.27,570.64,32.2803,89.93,3.2273,fav,fav,-19.71,-16.84,168.67,328.22,472.56
primary,2026-09-02T16:40:00,0,77245.4,30.454,7.0,16.0,-0.0019,-0.0019,0.3547,0.0245,49.465,1.9786,1.0006,155.1121,82.77,59.8105,327.47,35.8497,adv,adv,19.07,-17.29,-59.34,-147.12,56.66
primary,2026-09-02T21:45:00,0,77254.78,31.876,7.0,21.0,-0.0019,-0.0007,-0.0744,0.0,46.87,2.0501,0.4425,97.02,72.19,3.0025,271.75,38.9423,fav,adv,21.1,46.93,-133.91,-217.24,-215.84
primary,2026-09-03T00:05:00,0,77160.78,30.542,7.0,0.0,-0.0019,-0.0004,0.2544,0.0,46.25,2.3094,0.8904,88.8764,125.13,59.1292,236.46,51.0223,fav,adv,53.12,-58.19,-106.63,-97.18,65.07
primary,2026-09-03T02:35:00,0,77785.56,30.554,7.0,2.0,-0.0017,-0.0034,-0.1543,0.3169,45.285,0.6002,3.6887,159.0407,67.62,39.0112,173.43,58.3612,adv,adv,-32.88,-82.54,37.32,-96.7,-142.73
