set,shock_utc,t_entry,entry,spread,hour,r5,atr,mfe,t_mfe,mae,t_mae,fp0.5,fp1.0,vol24,d_hi,d_lo,imb,dOI,liq,n5,n15,n30,n60
sell,2024-01-04T12:25:00,1704371400,43205.56,20.675820895522534,12,-0.003542989829529719,102.48071428571451,34.483653846153175,1,259.56443548387324,23,adv,adv,53.07999999999811,2.295261129271716,0.7905877760972118,,,,-107.30660606060701,-135.5875838926222,-237.70560810811003,-90.03761467889854
sell,2024-01-04T13:55:00,1704376800,43362.21,21.962465753424187,14,-0.0030353898126136425,98.98357142857172,104.75767295597325,34,429.3188000000009,52,adv,adv,50.68500000000495,1.8384869061965818,1.7827200762031077,,,,-18.81650793650624,27.497037037035625,-7.4601851851912215,-363.9031034482832
sell,2024-01-04T16:20:00,1704385500,43874.81,21.211960784314012,16,-0.00353362266950652,191.47642857142895,47.56755681818322,9,428.7685211267599,59,adv,adv,49.80500000000029,2.508872781804541,0.41942499449763126,,,,-64.06492424243334,-84.80493243243836,-90.59099236641487,-387.32852112675755
sell,2024-01-04T17:40:00,1704390300,43880.11,23.2206965174129,17,-0.004785432433241477,133.5021428571433,-23.220696517411852,0,295.48640776699176,22,adv,adv,49.36000000000058,3.0188279481869937,0.14486658855130846,,,,-100.90444444444438,-170.3327058823561,-175.12116279069596,-253.3890350877191
sell,2024-01-04T19:30:00,1704396900,44281.93,20.475620437956124,19,-0.003574200496828106,118.47000000000064,342.890775193795,32,59.711529411768424,2,adv,fav,48.349999999998545,1.8262007259221522,2.4380011817337737,,,,92.71245508982247,201.29056603773643,228.84909909909766,91.73368932039011
sell,2024-01-04T20:45:00,1704401400,44266.48,20.97221374045791,20,-0.002530637591786733,167.1914285714291,123.1923529411797,9,383.0161521739137,11,fav,adv,48.2400000000016,2.8425500281969254,2.0881453252900957,,,,10.016521739133168,-158.41859090908838,-44.4134234234225,-182.00633663365443
sell,2024-01-04T22:20:00,1704407100,44513.31,22.077076023391687,22,-0.004831160875868656,137.345714285713,305.3200543478233,23,139.378859060409,1,adv,adv,49.125,1.9819329741424265,1.75513303238959,,,,-37.12877777777612,51.12418604650884,138.61543478260865,122.82893203883577
sell,2024-01-05T01:15:00,1704417600,44002.54,20.10852941176488,1,-0.003878708464563063,98.99785714285723,1428.2158344714553,28,119.13911999999254,2,adv,adv,49.49499999999898,3.3101726588598277,0.9011306161027921,,,,-15.565724137930374,9.87144230769627,770.6944846098777,446.6113103448297
sell,2024-01-05T02:15:00,1704421200,43528.86,22.200357142856948,2,-0.0027469021747722477,303.4228571428565,185.62259493670717,8,287.96045454545674,44,fav,neither,50.140000000003056,1.888157027439303,3.258455903124367,,,,112.18759433962259,26.49809917355742,-72.97558558558376,-102.63764150943462
sell,2024-01-05T04:05:00,1704427800,43428.01,21.885174825174584,4,-0.002811326772193312,103.94214285714459,176.0047089947111,10,272.8662499999991,56,adv,fav,51.38500000000204,2.33851249664988,0.3230643421134124,,,,-33.84691358024429,61.09322222222545,-86.14427272727335,-232.37163043478358
sell,2024-01-05T10:55:00,1704452400,43659.51,21.19211956521758,11,-0.004584304832330632,104.4542857142868,23.337880434781255,0,312.72257812500175,35,adv,adv,50.664999999997235,4.948576273968069,1.4992204381957637,,,,-148.81918367346952,-102.7673529411768,-240.81021428571694,-162.03191780821362
sell,2024-01-05T14:55:00,1704466800,43513.52,22.504959349593115,15,-0.0034642106371967074,160.14857142857105,133.47936974789627,54,331.77693333333445,11,adv,adv,51.81500000000233,3.707057732105912,2.119032327124776,,,,-217.6094196428603,-313.34042857142776,-222.24976190476445,-23.503593750006985
sell,2024-01-05T16:20:00,1704471900,43396.06,21.652090395480176,16,-0.002680232538096572,140.93642857142808,268.9953556485343,44,156.20519736842107,18,adv,adv,50.909999999999854,2.930683033383862,0.38904065156018935,,,,-21.733008130082453,-84.04163265306852,8.700738636362075,-31.99697368421039
sell,2024-01-05T19:50:00,1704484500,43583.86,23.038195488721872,19,-0.0031328522886222565,98.27142857142879,-0.6581954887224128,0,813.3828559738104,59,adv,adv,49.95499999999811,2.4288850123564654,0.5095071958133409,,,,-41.73241758241784,-84.00506666666479,-108.09752577319159,-619.2328559738089
sell,2024-01-05T20:55:00,1704488400,43964.98,24.28546218487396,21,-0.004420386400009413,125.57285714285639,339.29468421053025,10,59.12546218487114,0,fav,fav,48.97999999999956,3.1673246038156426,3.0670640834575975,,,,143.00465753424942,168.40682692307746,124.62323809524241,-18.54843283581431
sell,2024-01-06T19:15:00,1704568800,43856.29,17.18753246753259,19,-0.00277726048061111,78.57642857142802,184.7221761658002,53,122.13328125000407,43,adv,adv,30.714999999996508,3.7280900306344695,0.18962429663568847,,,,-41.80928571428376,-39.19639344262396,-53.97671052631631,25.347472527471837
sell,2024-01-07T02:35:00,1704595200,43839.95,17.634696969696904,2,-0.0036726337875037096,62.76071428571491,-17.63469696969696,0,213.37744680851029,39,adv,adv,28.525000000001455,4.113719911227415,0.16268138621747721,,,,-118.25174418604729,-110.30063492063346,-181.70449275362625,-125.09432432433096
