set,shock_utc,t_entry,entry,spread,hour,r5,atr,mfe,t_mfe,mae,t_mae,fp0.5,fp1.0,vol24,d_hi,d_lo,imb,dOI,liq,n5,n15,n30,n60
sell,2022-01-04T14:55:00,1641308400,47329.21,50.28917808219149,15,-0.0023817172478570736,130.4264285714276,480.7680281690118,58,234.1151219512176,5,adv,adv,39.784999999999854,0.9899834060800835,4.139728473085571,,,,-194.73246153846412,-110.28148148147739,-49.733714285714086,397.6444594594577
sell,2022-01-04T15:55:00,1641312000,46877.15,49.27974025974027,16,-0.0028397149989705106,158.92500000000084,233.83400000000256,28,65.53974025974458,0,fav,fav,39.95000000000073,3.988610980021998,0.4729274815164581,,,,62.36183098591573,78.12359375000233,181.04301587301597,94.1270967741948
sell,2022-01-04T17:55:00,1641319200,46521.06,49.242820512820636,18,-0.004029038190229817,96.83142857142853,933.6360416666648,52,229.8441269841278,13,adv,adv,39.32499999999709,4.412513646690906,0.45945826325571076,,,,-58.01140624999971,-163.64283582090138,43.82939393939159,760.0032051282033
sell,2022-01-04T19:25:00,1641324600,46155.91,48.176923076923416,19,-0.0028526935095821715,242.18071428571264,193.315970149255,35,295.76000000000204,59,adv,adv,40.640000000003056,1.1457972647344215,2.6099931279180875,,,,-88.2906666666604,2.2780000000057044,87.55235294118029,-275.7299999999959
sell,2022-01-04T21:15:00,1641331200,45970.52,49.86816901408471,21,-0.003943021508414191,111.80999999999975,-49.038169014093,0,352.1135937500003,38,adv,adv,40.54999999999927,3.859493784098087,0.020481173419136054,,,,-150.88500000000204,-196.24000000000524,-289.48467741935747,-175.70850000000792
sell,2022-01-04T23:40:00,1641339900,45762.09,45.41855072463764,23,-0.0027650731683078744,101.75857142857161,24.94681159419997,19,488.84507936508453,54,adv,adv,40.06499999999869,4.4155494096672,0.653900689306558,,,,-137.20782608696027,-69.87090909091057,-269.9693846153896,-444.21704918033356
sell,2022-01-05T01:55:00,1641348000,46074.84,50.577777777777904,2,-0.002601200240896717,87.11928571428714,-50.577777777776646,0,336.4285882352997,19,adv,adv,39.86999999999898,2.9093443308436147,0.09423860552443357,,,,-141.0143076923123,-193.42941176471504,-234.8109523809544,-251.19271186440892
sell,2022-01-05T10:15:00,1641378000,46781.92,45.191093749999936,10,-0.0033926776783664847,93.46714285714344,155.69671875000495,1,95.07942857143644,40,adv,adv,36.849999999998545,2.8518043009766743,0.6794901187582505,,,,53.657460317452205,-7.517794117651647,21.57650793650828,110.34999999999854
sell,2022-01-05T11:30:00,1641382500,46311.64,46.90084507042232,11,-0.0045039216402752436,102.67142857142971,318.5855072463746,49,108.77084507042309,0,adv,adv,36.87999999999738,5.052330596911064,0.10460553777651997,,,,17.440666666661855,42.211323529416404,1.7833846153880586,168.43790322580026
sell,2022-01-05T14:15:00,1641392400,46291.47,37.58866666666654,14,-0.0025256339673096484,101.4864285714284,109.78260416667035,27,575.1149019607838,39,adv,adv,37.9900000000016,2.0202701276032604,0.7625650157304591,,,,-55.89032786885218,-17.51921874999971,13.808243243242032,-264.1335294117598
