set,shock_utc,t_entry,entry,spread,hour,r5,atr,mfe,t_mfe,mae,t_mae,fp0.5,fp1.0,vol24,d_hi,d_lo,imb,dOI,liq,n5,n15,n30,n60
sell,2023-01-04T11:45:00,1672833000,16826.03,9.051228070175345,11,-0.0006723092337399539,10.563571428572427,23.988166666666075,59,18.245862068968563,2,adv,adv,5.880000000001019,1.833660152816357,0.33132733788623553,,,,-19.03810344827798,-5.871206896554213,-6.011724137933925,8.468166666665638
sell,2023-01-04T14:10:00,1672841700,16788.79,9.523898305084744,14,-0.0007005768896529707,10.795000000000073,31.869538461542106,56,64.567704918034,27,adv,adv,5.885000000000218,2.9782306623434556,0.01111625752687527,,,,-21.174310344827973,-24.79672413793014,-49.76560606060593,-0.6847540983617364
sell,2023-01-04T17:00:00,1672851900,16842.85,7.598620689655005,17,-0.0006574380091731724,19.162142857142367,-2.1791228070178477,3,91.89780821917884,28,adv,adv,5.869999999998981,2.1344168188766357,1.4763484549147181,,,,-16.8470689655187,-16.6150000000016,-68.95203124999898,-50.3037931034487
sell,2023-01-04T18:40:00,1672857900,16929.75,8.044237288135788,18,-0.0006994571386240711,24.772857142857383,139.47140624999884,48,68.06909090908812,16,adv,adv,6.024999999999636,0.7439594025719438,2.688022605386059,,,,-41.10895522388091,-22.949857142855763,45.31655737704932,92.9175862068987
sell,2023-01-04T19:45:00,1672861800,16810.4,7.921147540983585,19,-0.0008261815138616013,40.51071428571413,30.754545454547042,54,37.07213114753904,36,adv,neither,6.154999999998836,4.388221810808366,0.7000617120691346,,,,-8.04413793103231,-34.97135593220446,-25.897068965514336,-0.14083333333110204
sell,2023-01-05T00:40:00,1672879500,16837.84,7.702033898304993,0,-0.0008343634299575742,12.248571428570878,32.04593220339302,24,17.34203389830509,0,adv,adv,6.360000000000582,2.1284114765571047,0.1796127828318846,,,,-2.47844827586232,6.407241379307379,14.86719298245589,-3.3391379310342018
sell,2023-01-05T01:50:00,1672883700,16822.23,8.245762711864284,1,-0.0006914540673121916,14.76571428571385,4.264310344828118,28,17.143793103448843,41,adv,adv,6.260000000000218,1.282701238390042,1.6172600619196214,,,,-15.575689655172027,-15.087368421052815,-6.990701754384645,-17.968070175440516
sell,2023-01-05T10:40:00,1672915500,16812.82,8.453793103448271,10,-0.0006710623529265769,12.356428571428685,2.2861403508759395,44,16.43206896551783,54,adv,adv,5.7450000000008,0.9444476559340135,3.4047054743048184,,,,-15.244464285711729,-13.129482758620725,-11.277368421051506,-15.003448275863775
sell,2023-01-05T13:15:00,1672924800,16798.99,7.223898305084792,13,-0.0012075679011686047,10.87571428571417,40.20865671641877,40,22.436575342464494,10,adv,adv,5.635000000000218,2.4568501247863477,0.5029554709051433,,,,-16.581034482758696,-11.458095238092938,5.59368421052568,-16.853275862067676
sell,2023-01-05T14:30:00,1672929300,16783.76,7.94491525423735,14,-0.0013483961761722174,18.45642857142801,23.565873015872057,13,81.07318181818118,38,adv,fav,5.769999999998618,1.37458879987634,1.7901621579781546,,,,-14.93283333333602,9.244333333332179,-72.04833333333227,-62.88189655172755
sell,2023-01-05T15:45:00,1672933800,16849.08,7.891186440678057,15,-0.0007703726195694705,26.521428571428,32.15637931034507,51,11.177894736840244,1,fav,fav,5.75,0.5840560193912635,3.2298410988421082,,,,-8.12766666666721,2.466610169492924,-0.9286206896540534,14.256129032262834
sell,2023-01-05T17:35:00,1672940400,16810.47,7.302105263158043,17,-0.0008410478921795361,14.221428571427948,18.807758620692766,24,33.43491525423815,50,adv,fav,5.68999999999869,1.6636865896535031,0.3790055248618541,,,,-0.07827586206622072,-3.9355172413779655,-6.614999999997963,-21.647758620685636
sell,2023-01-05T18:35:00,1672944000,16819.64,7.816779661017174,18,-0.0009004861793785457,16.506428571428582,0.12844827586013707,51,28.98965517241595,59,adv,adv,5.604999999999563,0.9832532779436313,2.145224804188834,,,,-13.739137931035657,-16.606551724136807,-18.589310344828846,-31.81965517241406
sell,2023-01-05T21:20:00,1672953900,16828.36,8.11706896551713,21,-0.0008887865065939637,10.920714285714764,0.009137931036093505,18,28.8670689655155,51,adv,adv,5.344999999999345,2.3725554320098245,0.6281640395055527,,,,-11.996842105261749,-7.400526315788738,-17.142758620688255,-17.725789473683108
sell,2023-01-06T01:50:00,1672970100,16821.2,7.820344827586237,1,-0.0007336421560880657,10.051428571428914,21.738965517241013,12,13.221525423727144,59,adv,adv,5.270000000000437,2.9189880613984367,0.15719158612865045,,,,-3.4028571428571013,-2.9275862068971037,-13.979824561403802,-11.921525423727871
sell,2023-01-06T04:15:00,1672978800,16804.24,7.152068965517111,4,-0.0009013438704159604,9.415714285714005,4.136551724139281,10,20.49175438596285,32,adv,adv,5.385000000000218,2.998179335457485,0.6648460021243449,,,,-16.310508474576636,-13.60368421052408,-16.529655172413186,-7.990526315788884
sell,2023-01-06T06:30:00,1672986900,16773.91,7.848333333333358,6,-0.0007619258674130824,8.589999999999366,-3.3520689655160822,32,28.30275862068811,2,adv,adv,5.3799999999992,3.2875436554137005,0.13387660069866592,,,,-27.755172413792025,-18.90620689655043,-13.290689655172173,-20.70293103448421
sell,2023-01-06T10:50:00,1673002500,16758.88,8.179310344827549,10,-0.0009526250842041284,10.089285714285975,42.553544303798844,11,17.402068965515355,2,adv,adv,5.2549999999992,3.177628318583758,0.9128495575223744,,,,-9.38932203389777,19.07847457627213,11.797413793105079,11.217321428572177
sell,2023-01-06T13:00:00,1673010300,16695.09,8.949491525423984,13,-0.0012005958113742166,12.191428571428073,39.553098591550224,24,112.38624242424339,25,adv,adv,5.445000000001528,2.6592453714553206,0.46918209514893117,,,,-20.44067796610034,-41.6245614035106,-70.09359374999985,-82.90224137931
sell,2023-01-06T14:05:00,1673014200,16742.63,8.820508474576393,14,-0.0013415292479026508,35.78214285714291,26.775689655172755,36,41.312033898302616,24,adv,adv,5.524999999999636,1.5745283960475116,2.7379578800279756,,,,-12.003275862069131,-17.992033898302907,-10.721896551724058,-33.193666666666104
sell,2023-01-06T15:25:00,1673019000,16754.92,8.542666666666628,15,-0.0006930292115988612,24.10928571428537,-2.042666666668083,0,93.1480327868885,32,adv,adv,5.5,0.9067045892217359,1.9403312298165882,,,,-21.83482758620812,-71.71568965517508,-86.51300000000265,-58.60379310344797
sell,2023-01-06T19:55:00,1673035200,16929.66,7.994918032786983,20,-0.0013308234883268044,18.24428571428533,49.04967741935252,58,110.58972222222292,16,adv,adv,5.395000000000437,1.4875890689844173,5.181348367394925,,,,-32.22870967741983,-56.95786885245616,-13.898448275860574,36.89600000000064
sell,2023-01-06T20:55:00,1673038800,16878.76,8.266999999999886,21,-0.0014765019680776925,35.09500000000013,-3.552203389830538,7,68.00137931034624,37,adv,adv,5.475000000000364,4.332241059980063,0.1738139336087341,,,,-20.74491525423946,-31.293965517244942,-44.71633333333739,-49.45517241379639
sell,2023-01-06T22:35:00,1673044800,16933.33,6.691034482758588,22,-0.0008343511945855253,15.045714285713464,2.4129310344869737,35,30.372241379311163,12,adv,adv,5.569999999999709,1.3319407519938122,2.109570831751076,,,,-14.553793103448697,-18.988965517241013,,
sell,2023-01-07T01:15:00,1673054400,16948.79,6.538103448275847,1,-0.0008553608903769661,9.975714285715055,5.020350877195597,58,16.86947368420806,21,adv,adv,5.525000000001455,1.974795932980015,1.3883717599886554,,,,-6.058421052632184,-8.572931034479552,-11.797758620687091,-4.320862068965653
sell,2023-01-07T06:00:00,1673071500,16913.96,7.262203389830652,6,-0.0007845532802067678,7.1828571428572365,-2.1264814814821875,14,19.537368421053543,37,adv,adv,5.239999999997963,2.9528639618136823,0.2645186953059775,,,,-13.328793103450153,-9.196481481481896,-19.923965517242323,-22.914655172415223
sell,2023-01-08T09:40:00,1673171100,16923.09,6.00413793103451,9,-0.0012328629686678694,7.366428571428385,-4.754137931035075,0,20.443448275862465,19,adv,adv,3.2700000000004366,4.462135169203893,0.48870357800815384,,,,-19.19754385964916,-17.487368421050633,-17.822413793102896,-17.06824561403846
sell,2023-01-08T16:00:00,1673193900,16968.55,6.535322580645198,16,-0.0015170033241084235,13.974285714286193,53.56377049180446,31,15.595322580647917,0,adv,adv,3.1999999999970896,3.054896749131119,2.423737476998413,,,,-12.46586206896609,9.319298245613027,25.596724137929414,28.627241379308543
