ticket,direction,volume,entry_time_utc,entry_price,exit_time_utc,exit_price,duration_min,profit_usd,exit_reason,worst_drawdown_usd,worst_drawdown_pts,best_profit_usd,time_to_worst_min,time_to_best_min,hour_id,positions_open_at_entry,entry_atr14_h1,entry_atr14_m1,entry_balance,entry_ema200_m1,entry_ema20_h1,entry_ema20_m1,entry_ema50_h1,entry_ema50_m1,entry_equity,entry_h1_body_pts,entry_h1_candle,entry_h1_downwick_pts,entry_h1_forming,entry_h1_higher_high,entry_h1_lower_low,entry_h1_upwick_pts,entry_m15_candle,entry_m15_forming,entry_m1_body_pts,entry_m1_candle,entry_m1_downwick_pts,entry_m1_high_minus_prevhigh,entry_m1_low_minus_prevlow,entry_m1_upwick_pts,entry_m5_candle,entry_m5_forming,entry_minute_of_hour,entry_price_ask,entry_price_bid,entry_px_vs_ema200_m1,entry_px_vs_ema20_h1,entry_px_vs_ema20_m1,entry_px_vs_ema50_h1,entry_px_vs_ema50_m1,entry_range24h_pct,entry_rsi14_h1,entry_rsi14_m1,entry_spread_pts,exit_atr14_h1,exit_atr14_m1,exit_balance,exit_ema200_m1,exit_ema20_h1,exit_ema20_m1,exit_ema50_h1,exit_ema50_m1,exit_equity,exit_h1_body_pts,exit_h1_candle,exit_h1_downwick_pts,exit_h1_forming,exit_h1_higher_high,exit_h1_lower_low,exit_h1_upwick_pts,exit_m15_candle,exit_m15_forming,exit_m1_body_pts,exit_m1_candle,exit_m1_downwick_pts,exit_m1_high_minus_prevhigh,exit_m1_low_minus_prevlow,exit_m1_upwick_pts,exit_m5_candle,exit_m5_forming,exit_minute_of_hour,exit_price_ask,exit_price_bid,exit_px_vs_ema200_m1,exit_px_vs_ema20_h1,exit_px_vs_ema20_m1,exit_px_vs_ema50_h1,exit_px_vs_ema50_m1,exit_range24h_pct,exit_rsi14_h1,exit_rsi14_m1,exit_spread_pts,entry_user_sl,entry_user_tp,final_user_sl,final_user_tp
1042642250,BUY,0.02,2026-08-21T09:32:40,77932.12,2026-08-21T09:43:08,78082.12,10.5,3.0,tp,-3.92,-196.0,3.49,5.3,10.3,496473,1,1075.88,173.68,97.25,76861.82,74120.06,77768.15,71262.1,77763.87,97.01,2959.84,green,59.5,,True,False,274.2,red,,136.24,green,50.89,100.61,38.1,0.0,green,,32,77929.98,77919.98,above,above,above,above,above,10.848,90.7,59.0,10.0,1075.88,131.18,100.25,76970.83,74120.06,77874.58,71262.1,77817.38,100.25,2959.84,green,59.5,,True,False,274.2,red,,74.08,green,54.39,80.15,29.91,31.2,red,,43,78114.26,78104.26,above,above,above,above,above,10.823,90.7,75.5,10.0,,,,
1042722405,BUY,0.02,2026-08-21T11:58:09,76877.72,2026-08-21T12:06:39,76855.66,8.5,-0.44,hour_clean,-7.67,-383.5,0.27,3.9,-0.1,496475,2,1167.85,119.26,100.25,77319.17,74794.21,76884.2,71767.79,77089.83,80.21,96.23,red,199.16,,False,False,347.0,red,,50.03,green,26.99,-49.48,-12.2,21.95,green,,58,76865.93,76855.93,below,above,below,above,below,10.998,76.9,52.6,10.0,1167.75,143.29,99.81,77270.83,74976.96,76786.53,71961.74,76982.13,80.07,1074.68,red,323.58,,False,True,57.12,red,,138.29,green,0.0,32.46,143.07,0.0,red,,6,76859.66,76849.66,below,above,above,above,below,10.999,68.9,48.5,10.0,,,,
1042732453,BUY,0.02,2026-08-21T12:14:03,76962.72,2026-08-21T12:39:21,77112.72,25.3,3.0,tp,-7.24,-362.0,3.35,15.9,24.9,496476,2,1174.45,131.95,199.81,77237.93,74976.96,76820.61,71961.74,76944.54,181.35,1074.68,red,323.58,,False,True,57.12,red,,157.0,green,18.53,142.56,47.68,18.89,green,,14,76948.19,76938.19,below,above,above,above,below,10.987,68.9,64.2,10.0,1185.38,102.33,202.81,77136.06,74976.96,76818.71,71961.74,76845.63,188.6,1074.68,red,323.58,,False,True,57.12,red,,42.92,green,1.19,84.4,89.84,52.63,red,,39,77135.86,77125.86,below,above,above,above,above,10.96,68.9,80.9,10.0,,,,
1042805214,BUY,0.02,2026-08-21T13:45:17,77419.61,2026-08-21T13:50:09,77569.61,4.9,3.0,tp,-6.11,-305.4,3.25,0.7,4.7,496477,2,1241.6,202.11,202.81,77097.36,75188.39,76995.62,72167.1,76986.55,194.71,485.7,green,217.08,,False,False,265.48,green,,58.72,green,41.13,26.74,83.11,0.0,green,,45,77435.36,77425.36,above,above,above,above,above,10.615,70.7,70.5,10.0,1252.8,178.66,205.81,77108.96,75188.39,77138.36,72167.1,77051.17,200.31,485.7,green,217.08,,False,False,265.48,green,,77.67,green,0.0,118.73,178.5,90.89,green,,50,77571.71,77561.71,above,above,above,above,above,10.597,70.7,91.2,10.0,,,,
1042845940,BUY,0.02,2026-08-21T14:37:04,77160.43000000001,2026-08-21T14:47:02,77310.43,10.0,3.0,tp,-6.88,-344.1,3.11,1.9,9.9,496478,2,1242.86,123.89,205.81,77076.59,75382.26,77042.86,72365.42,77019.26,191.95,25.86,green,1000.37,,True,True,479.59,green,,189.26,green,15.1,127.92,-16.54,31.26,green,,37,77161.77,77151.77,above,above,above,above,above,10.574,69.8,66.2,10.0,1248.69,118.25,208.81,77074.71,75382.26,77079.53,72365.42,77036.43,198.4,25.86,green,1000.37,,True,True,479.59,green,,65.04,green,21.37,86.02,107.17,20.25,green,,47,77325.89,77315.89,above,above,above,above,above,10.503,69.8,59.0,10.0,,,,
1042679407,BUY,0.02,2026-08-21T10:44:31,77836.71,2026-08-21T21:23:52,77920.1,639.4,1.67,hour_clean,-32.79,-1639.3,2.96,171.5,2.5,496474,1,1085.56,100.69,100.25,77392.91,74478.76,77799.36,71521.92,77849.82,100.07,1357.46,red,661.22,,False,False,101.35,red,,114.61,green,0.0,27.29,2.61,34.92,green,,44,77837.27,77827.27,above,above,above,above,below,10.861,77.5,49.7,10.0,1127.15,129.97,211.85,77343.08,76337.5,77641.6,73565.84,77530.26,211.85,484.12,green,192.04,,True,False,39.79,green,,61.21,green,24.96,52.53,31.74,6.27,green,,23,77939.47,77929.47,above,above,above,above,above,9.035,61.6,79.1,10.0,,,,
1042870348,BUY,0.02,2026-08-21T15:15:32,77849.57,2026-08-21T21:23:53,77918.14,368.4,1.37,hour_clean,-25.52,-1276.2,2.12,209.5,367.5,496479,2,1144.75,123.01,208.81,77173.08,75570.1,77544.94,72561.06,77356.42,208.67,131.6,green,711.82,,False,False,68.82,green,,12.11,green,47.98,107.01,21.95,105.68,red,,15,77849.57,77839.57,above,above,above,above,above,9.756,68.2,77.1,10.0,1127.15,129.97,211.85,77343.08,76337.5,77641.6,73565.84,77530.26,211.85,484.12,green,192.04,,True,False,39.79,green,,61.21,green,24.96,52.53,31.74,6.27,green,,23,77939.47,77929.47,above,above,above,above,above,9.035,61.6,79.1,10.0,,,,
1043000891,BUY,0.02,2026-08-21T22:06:16,78536.71,2026-08-21T22:07:13,78686.71,0.9,3.0,tp,-1.19,-59.6,3.86,-0.3,0.7,496486,1,972.38,153.51,211.85,77675.56,76543.23,78389.39,73759.21,78194.07,212.1,1004.04,green,142.27,green,True,False,170.56,green,green,135.13,green,66.2,66.71,-39.97,6.02,red,green,6,78558.81,78548.81,above,above,above,above,above,8.893,63.1,50.4,10.0,984.14,156.72,214.85,77686.35,76543.23,78424.24,73759.21,78216.14,214.85,1004.04,green,142.27,green,True,False,170.56,green,green,66.66,green,33.17,107.34,167.92,46.94,red,green,7,78739.84,78729.84,above,above,above,above,above,8.873,63.1,59.8,10.0,,,,
1043007247,BUY,0.02,2026-08-21T23:09:50,78537.13,2026-08-21T23:17:14,78687.13,7.4,3.0,tp,-1.79,-89.7,3.11,-0.8,7.2,496487,1,857.7,90.38,214.85,78046.65,76724.31,78447.85,73942.79,78430.02,214.87,41.26,red,385.89,green,True,False,270.36,red,green,4.05,green,66.75,-2.46,-21.08,17.61,red,green,9,78537.13,78527.13,above,above,above,above,above,8.554,42.8,49.7,10.0,868.18,80.95,217.85,78086.01,76724.31,78516.49,73942.79,78466.65,217.85,41.26,red,385.89,green,True,False,270.36,green,green,11.78,green,24.8,53.9,63.86,47.78,green,green,17,78702.48,78692.48,above,above,above,above,above,8.446,42.8,78.3,10.0,,,,
1043021915,BUY,0.02,2026-08-22T03:25:11,78635.24,2026-08-22T03:29:30,78785.24,4.3,3.0,tp,-1.13,-56.7,3.08,-0.2,3.8,496491,1,731.35,66.74,217.85,78229.55,77192.22,78526.94,74563.33,78448.98,217.55,649.9,green,53.06,green,True,True,80.17,red,green,7.17,green,29.13,-12.17,-14.57,8.41,red,green,25,78630.22,78620.22,above,above,above,above,above,6.515,66.7,65.7,10.0,738.27,74.2,220.85,78249.59,77192.22,78597.02,74563.33,78492.07,220.85,649.9,green,53.06,green,True,True,80.17,red,green,2.73,red,13.3,-4.38,28.84,20.51,red,green,29,78780.16,78770.16,above,above,above,above,above,6.503,66.7,76.2,10.0,,,,
1043025030,BUY,0.02,2026-08-22T04:29:43,78574.72,2026-08-22T04:34:32,78724.72,4.8,3.0,tp,-1.52,-76.0,3.05,0.3,4.3,496492,1,704.04,76.08,220.85,78349.52,77306.67,78431.67,74713.56,78440.12,220.37,76.97,red,52.73,green,True,False,365.4,red,green,13.64,green,0.0,-16.87,-3.7,26.38,green,green,29,78560.59,78550.59,above,above,above,above,above,6.079,65.1,70.3,10.0,715.64,81.66,223.85,78362.44,77306.67,78506.02,74713.56,78471.98,223.85,76.97,red,52.73,green,True,False,365.4,green,green,35.93,red,0.0,-14.57,30.65,17.7,green,green,34,78726.84,78716.84,above,above,above,above,above,5.978,65.1,79.1,10.0,,,,
1043045148,SELL,0.02,2026-08-22T08:33:46,77080.32,2026-08-22T08:34:18,77075.32,0.5,0.1,tp,-1.01,-50.7,0.42,0.2,0.2,496496,3,756.6,75.15,173.85,77464.64,77403.69,77222.42,75144.17,77285.57,165.9,183.53,red,90.39,red,True,False,198.96,red,red,1.29,red,46.4,-34.37,-29.78,28.57,red,red,33,77087.51,77077.51,below,below,below,above,below,4.304,49.0,28.8,10.0,756.6,76.03,173.95,77460.63,77403.69,77207.3,75144.17,77276.92,166.14,183.53,red,90.39,red,True,False,198.96,red,red,30.39,red,18.81,-25.66,-5.21,6.61,red,red,34,77069.12,77059.12,below,below,below,above,below,4.305,49.0,28.5,10.0,,,,
