set,shock_utc,t_entry,entry,R,flush_low,same_bar,min_to_flush,min_flush_to_reclaim,depth,depth_atr,body,rng,spread,vol24,hour,bos,fp05,fp10,fp15,mfe,mae,n5,n15,n30,n60
reclaim,2023-01-04T11:45:00,1672833540,16836.763859649123,18.443859649123624,16818.32,True,8.0,1.0,5.5,0.5206572452497986,0.5200000000004366,11.180000000000291,9.393859649122884,5.885000000000218,11,False,adv,adv,adv,-6.203859649122023,43.40385964912275,-27.79385964912217,-16.173859649123187,-19.46385964912406,-44.383859649122314
reclaim,2023-01-04T14:10:00,1672841760,16800.82661016949,13.036610169488995,16787.79,True,0.0,1.0,0.8799999999973807,0.08151922186172994,3.2399999999979627,5.279999999998836,8.826610169491472,5.880000000001019,14,False,adv,adv,adv,42.80338983051115,53.11661016949074,-9.596610169490305,-18.326610169489868,21.613389830508822,-23.69661016948885
reclaim,2023-01-04T17:00:00,1672852140,16852.017068965517,14.17706896551681,16837.84,True,3.0,1.0,0.9000000000014552,0.046967607261418326,4.959999999999127,7.799999999999272,7.137068965517254,5.860000000000582,17,False,fav,fav,fav,73.37293103448246,13.407068965516373,-18.127068965517537,1.5029310344834812,41.25293103448348,41.61293103448406
reclaim,2023-01-04T19:45:00,1672861920,16824.738474576272,20.63847457627344,16804.1,False,0.0,2.0,4.680000000000291,0.11552499338800022,10.200000000000728,11.029999999998836,7.688474576270923,6.1599999999998545,19,False,adv,adv,adv,14.891525423729036,52.858474576270964,-6.348474576272565,0.7215254237271438,1.1515254237274348,-38.50847457627242
reclaim,2023-01-05T00:40:00,1672879560,16854.47779661017,20.08779661016888,16834.39,True,0.0,1.0,1.6700000000018917,0.13634243060431267,9.529999999998836,13.090000000000146,7.907796610169452,6.360000000000582,0,False,adv,adv,adv,-7.2177966101698985,56.12779661016975,-28.76779661016917,-41.52779661016757,-49.63779661016815,-31.02779661016757
reclaim,2023-01-05T01:50:00,1672883760,16834.575614035086,15.005614035086182,16819.57,True,0.0,1.0,1.0100000000020373,0.0684017027865177,4.4099999999998545,7.81000000000131,8.095614035087541,6.280000000000655,1,False,adv,adv,adv,-3.055614035085455,24.125614035085164,-14.135614035087201,-14.95561403508691,-21.28561403508502,-12.055614035085455
reclaim,2023-01-05T10:40:00,1672917120,16818.725614035087,9.225614035087347,16809.5,True,26.0,1.0,0.11999999999898137,0.009711544019803016,2.930000000000291,4.56000000000131,7.795614035087694,5.699999999998909,11,False,adv,adv,adv,11.194385964910907,15.975614035087347,-13.3956140350856,-12.985614035085746,-4.5456140350870555,-0.5556140350890928
reclaim,2023-01-05T13:15:00,1672925460,16816.757457627118,30.0574576271174,16786.7,True,10.0,1.0,6.819999999999709,0.6270852489163072,3.7399999999979627,26.349999999998545,7.487457627118555,5.639999999999418,13,True,adv,adv,adv,-3.4074576271195838,66.03745762711696,-29.11745762711871,-35.18745762711842,-46.99745762711973,-20.637457627119147
reclaim,2023-01-05T14:30:00,1672929600,16790.85344262295,10.463442622949515,16780.39,True,4.0,1.0,0.2900000000008731,0.015712682379396832,0.20999999999912689,9.770000000000437,7.9434426229506885,5.75,14,False,adv,adv,adv,68.51655737705005,39.26344262294879,-25.913442622950242,-16.853442622948933,39.9265573770499,49.606557377050194
reclaim,2023-01-05T15:45:00,1672933980,16854.73844827586,13.98844827586072,16840.75,True,2.0,1.0,1.5999999999985448,0.06032857527600353,1.5,5.799999999999272,8.398448275861892,5.75,15,False,adv,adv,adv,-2.9584482758618833,45.42844827585941,-31.188448275861447,-22.518448275859555,-35.99844827585912,-36.448448275859846
