set,shock_utc,t_entry,entry,R,flush_low,same_bar,min_to_flush,min_flush_to_reclaim,depth,depth_atr,body,rng,spread,vol24,hour,bos,fp05,fp10,fp15,mfe,mae,n5,n15,n30,n60
reclaim,2022-01-04T14:55:00,1641308460,47430.55732394366,113.5573239436635,47317.0,True,0.0,1.0,10.569999999999709,0.08104185720466218,43.7300000000032,66.91999999999825,51.077323943662044,39.784999999999854,15,False,fav,adv,adv,80.48267605633737,647.8573239436664,-13.40732394366205,-0.417323943664087,-111.37732394366321,-644.907323943662
reclaim,2022-01-04T15:55:00,1641312120,46880.85386666667,102.36386666667386,46778.49,False,0.0,2.0,23.5,0.14786849142677286,50.49000000000524,74.68000000000029,46.62386666666678,39.95000000000073,16,False,adv,adv,adv,-16.40386666667473,278.073866666673,-160.47386666667444,-190.0338666666721,-253.93386666667357,-146.54386666667415
reclaim,2022-01-04T17:55:00,1641319260,46525.51836065573,72.33836065573269,46453.18,True,0.0,1.0,23.389999999999418,0.24155380484493819,34.43999999999505,71.91999999999825,40.70836065573781,39.32499999999709,18,False,fav,fav,fav,181.30163934426673,991.2583606557309,28.291639344264695,130.28163934426993,-260.3583606557295,-900.6983606557333
reclaim,2022-01-04T19:25:00,1641325020,46196.497746478875,89.9877464788733,46106.51,True,6.0,1.0,6.44999999999709,0.026633004279555075,1.319999999999709,62.43000000000029,46.677746478873274,40.73500000000058,19,False,adv,adv,adv,205.55225352112757,281.97774647887854,-123.75774647887738,-229.06774647887505,-233.88774647887476,149.32225352112437
reclaim,2022-01-04T23:40:00,1641341160,45771.09823529412,79.38823529412184,45691.71,False,19.0,2.0,3.8400000000037835,0.03773637882386382,21.470000000001164,57.88000000000466,45.158235294118,40.36499999999796,0,False,fav,fav,fav,502.6017647058761,64.108235294123,109.23176470588078,236.45176470588194,421.68176470587787,468.7117647058767
reclaim,2022-01-05T10:15:00,1641378540,46810.834444444445,238.31444444444787,46572.52,False,1.0,8.0,187.45000000000437,2.005517599767714,36.0,43.69999999999709,44.84444444444451,36.80500000000029,10,True,adv,adv,adv,19.53555555555795,359.4844444444461,-93.47444444444409,-96.63444444444758,-5.4644444444420515,-292.3644444444435
reclaim,2022-01-05T11:30:00,1641384180,46347.21222222222,252.75222222221782,46094.46,False,1.0,27.0,206.44000000000233,2.0106859607624883,34.81999999999971,50.11000000000058,41.622222222221716,37.21500000000378,12,True,adv,adv,adv,-16.622222222220444,488.37222222222044,-155.55222222221346,-194.39222222221724,-275.59222222221433,-113.48222222221375
reclaim,2022-01-05T14:15:00,1641393420,46342.508730158734,153.448730158736,46189.06,False,12.0,5.0,90.38999999999942,0.8906609610011148,79.97999999999593,105.87000000000262,42.3887301587307,37.919999999998254,14,True,fav,fav,fav,475.74126984126633,209.698730158736,258.3212698412681,72.35126984126691,348.6612698412646,162.7812698412672
reclaim,2022-01-05T15:35:00,1641397800,46502.04630769231,147.69630769231298,46354.35,False,6.0,4.0,79.97000000000116,0.37666619565729764,23.94000000000233,62.9800000000032,47.4963076923075,38.32499999999709,15,False,fav,fav,adv,160.76369230768614,204.02630769231473,57.68369230769167,16.733692307687306,-46.946307692312985,-194.6063076923092
reclaim,2022-01-05T19:10:00,1641410160,45688.72215189873,111.00215189872688,45577.72,True,0.0,1.0,38.900000000001455,0.17569045445307827,9.700000000004366,72.58000000000175,48.522151898733625,39.11500000000524,19,False,adv,adv,adv,270.037848101274,1980.522151898731,-100.33215189872863,200.6978481012702,-730.0721518987266,-1351.5921518987307
