set,shock_utc,t_entry,entry,R,flush_low,same_bar,min_to_flush,min_flush_to_reclaim,depth,depth_atr,body,rng,spread,vol24,hour,bos,fp05,fp10,fp15,mfe,mae,n5,n15,n30,n60
reclaim,2024-01-04T12:25:00,1704371520,43218.99701298701,68.34701298701111,43150.65,True,1.0,1.0,16.489999999997963,0.16090832421429185,27.700000000004366,53.56999999999971,24.417012987012427,53.07999999999811,12,False,fav,fav,fav,226.14298701298685,33.24701298701257,100.95298701298452,149.2229870129886,182.9929870129854,-8.937012987014896
reclaim,2024-01-04T13:55:00,1704377280,43380.012359550565,95.31235955056763,43284.7,False,0.0,8.0,76.87000000000262,0.7765935184049543,14.260000000002037,45.17000000000553,18.872359550561793,50.57500000000073,14,False,adv,adv,adv,422.72764044943324,146.16235955056618,-60.11235955056327,49.04764044943295,-71.91235955056618,228.4976404494373
reclaim,2024-01-04T16:20:00,1704385980,43899.09663157895,48.05663157894742,43851.04,True,7.0,1.0,0.19999999999708962,0.0010445149906401195,19.2699999999968,73.33999999999651,18.936631578947097,49.775000000001455,16,False,adv,adv,adv,384.0333684210491,94.70663157894887,-8.776631578948582,82.8533684210488,-3.3366315789462533,162.75336842105025
reclaim,2024-01-04T19:30:00,1704396960,44294.40276923077,55.41276923077385,44238.99,True,0.0,1.0,5.560000000004948,0.04693171266991574,10.87999999999738,52.99000000000524,20.19276923076927,48.349999999998545,19,False,adv,adv,adv,24.71723076923081,377.0427692307712,-147.23276923077356,-165.59276923077414,-256.372769230773,-154.32276923077006
reclaim,2024-01-04T20:45:00,1704402120,44429.209388379204,310.3893883792043,44118.82,False,0.0,12.0,148.98999999999796,0.8911342003178413,196.9100000000035,432.6200000000026,25.24938837920488,48.3849999999984,21,True,neither,neither,neither,118.43061162079539,192.449388379202,2.1506116207965533,-158.57938837920665,11.760611620797135,105.56061162079277
reclaim,2024-01-04T22:20:00,1704407160,44627.4188590604,114.10885906040494,44513.31,True,0.0,1.0,1.0400000000008731,0.007572132886778079,89.54000000000087,90.11000000000058,21.648859060402835,49.125,22,False,adv,adv,adv,3.6211409395982628,442.06885906040407,-165.73885906040232,-214.40885906040057,-284.3688590603997,-259.53885906040523
reclaim,2024-01-05T01:15:00,1704418200,43951.70664233577,101.11664233577176,43850.59,False,7.0,3.0,62.74000000000524,0.6337510912935147,75.54000000000087,86.28000000000611,19.54664233576663,49.49499999999898,1,False,adv,adv,adv,40.523357664234936,1411.53664233577,11.903357664232317,-15.346642335767683,-530.6566423357654,-626.4766423357651
reclaim,2024-01-05T02:15:00,1704421980,43473.457500000004,152.95750000000407,43320.5,False,3.0,10.0,129.13999999999942,0.42561065180135116,8.849999999998545,46.36000000000058,25.087499999999963,50.54000000000087,2,True,fav,fav,fav,320.9024999999965,73.19750000000204,40.82249999999476,142.5824999999968,179.0124999999971,98.6724999999933
reclaim,2024-01-05T04:05:00,1704427920,43423.24644859813,29.75644859813474,43393.49,True,1.0,1.0,0.9400000000023283,0.009043492602362837,51.61000000000058,64.61000000000058,20.346448598130568,51.45000000000073,4,False,adv,adv,adv,256.9635514018664,195.4964485981327,-67.58644859812921,-6.416448598130955,76.21355140186643,202.36355140186788
reclaim,2024-01-05T14:55:00,1704470100,43479.75502538071,122.26502538071509,43357.49,False,53.0,2.0,90.93000000000029,0.5677852708199561,30.169999999998254,108.42000000000553,21.85502538071045,51.159999999999854,15,False,fav,fav,adv,131.69497461928404,242.97502538071421,24.854974619287532,4.754974619288987,-90.22502538071421,-125.57502538071276
reclaim,2024-01-05T16:20:00,1704471960,43405.03820359281,64.83820359281526,43340.2,True,0.0,1.0,1.0300000000061118,0.007308259549688368,9.009999999994761,65.70000000000437,21.758203592814517,50.909999999999854,16,False,fav,adv,adv,125.20179640718561,301.76820359281555,14.721796407189686,49.84179640718503,-45.40820359281497,-50.67820359281177
reclaim,2024-01-05T20:55:00,1704488700,43821.105656565654,93.64565656565537,43727.46,True,4.0,1.0,15.989999999997963,0.12733643530788774,3.7299999999959255,82.43000000000029,23.49565656565649,48.97999999999956,21,False,adv,adv,adv,143.3443434343426,218.27565656565275,-145.27565656565275,-16.615656565656536,-54.71565656565508,94.06434343434375
reclaim,2024-01-06T19:15:00,1704569460,43862.83235294118,34.61235294117796,43828.22,True,10.0,1.0,13.169999999998254,0.16760751588533168,36.849999999998545,52.08999999999651,19.172352941176403,30.645000000000437,19,False,fav,fav,adv,98.14764705882408,215.47235294117854,22.997647058822622,-6.8823529411820346,62.94764705881971,2.527647058821458
reclaim,2024-01-07T15:25:00,1704641940,44149.088129496406,51.868129496404435,44097.22,False,7.0,2.0,29.19999999999709,0.37284301922582025,9.959999999999127,38.13999999999942,18.44812949640257,28.209999999999127,15,False,adv,adv,adv,36.761870503592945,219.0681294964088,-86.99812949640909,-131.18812949640414,-161.14812949640327,-51.01812949640589
reclaim,2024-01-07T16:45:00,1704647580,44003.579918699186,288.16991869918274,43715.41,False,0.0,23.0,261.07999999999447,2.932871150482159,37.270000000004075,60.779999999998836,20.45991869918693,29.450000000004366,17,True,neither,neither,neither,128.4500813008126,93.0699186991842,-32.85991869918507,-36.0499186991874,-18.229918699187692,101.72008130081667
