tb,time,src,era,kind,d,pnl,R,tpf,spread_med24,spread_over_range24,spread_over_atr,tp_over_spread,stop_over_spread,atr_over_price,rng60,rng360,rng1440,absret60,absret360,absret1440,sd60,sd360,sd1440,er60,er360,er1440,signac360,flips_per_day,bos_per_day,cont_per_flip,med_flip_gap_min,trend_age_min,flip_share20,own20_tpf,own50_tpf,own20_R,own50_R,own20_flip_R,own20_cont_R,mkt20_fwd5,mkt20_fwd15,mkt20_fwd30,mkt20_ge05
1767334980,2026-01-02T06:23:00,V2,DISC,flip,1,2.6706,0.8,1,12.6,0.53232,0.45726,10.59762,13.24683,3.10417,28.205,33.62,23.67,113.4053,967.88446,2718.92112,2.35332,3.57169,2.7439,0.24764,0.02054,0.05259,-0.0195,8,25,1.77778,111.0,0.0,0.55556,,,,,,,-0.24406,-0.10666,0.35048,0.3
1767338760,2026-01-02T07:26:00,V2,DISC,flip,-1,-3.747,-1.0252,0,12.6,0.51387,0.30197,11.60317,14.50397,4.69896,29.445,32.7,24.52,144.90446,950.76645,2815.02987,3.06742,3.49625,2.80744,0.01097,0.02098,0.05227,-0.06964,9,27,1.7,101.5,0.0,0.6,0.3,,-0.46895,,,,-0.01485,0.1596,0.59464,0.4
1767342840,2026-01-02T08:34:00,V2,DISC,flip,1,2.6434,0.8,1,12.6,0.4947,0.35167,10.48968,13.1119,4.02421,29.155,32.315,25.47,132.22648,919.44616,2876.9511,2.91948,3.40873,2.8569,0.23131,0.08425,0.05519,-0.0585,10,28,1.54545,92.0,0.0,0.63636,0.36364,,-0.35359,,,,-0.01231,0.1978,0.60424,0.4
1767347340,2026-01-02T09:49:00,V2,DISC,cont,1,6.3858,0.8,1,12.6,0.47324,0.22671,25.34048,31.6754,6.2186,37.74,32.23,26.625,187.65599,887.72987,2982.00688,4.51307,3.3895,2.98601,0.21744,0.0546,0.0622,-0.09192,10,31,1.81818,92.0,75.0,0.66667,0.33333,,-0.40956,,,,-0.02062,0.10206,-0.1095,0.3
1767364320,2026-01-02T14:32:00,V2,DISC,flip,-1,-8.542,-1.0045,0,12.6,0.39167,0.11652,26.99683,33.74603,12.21937,48.01,41.725,32.17,250.6921,1136.31068,3560.17539,6.2072,4.53458,3.53279,0.3813,0.0432,0.0248,-0.03064,11,30,1.72727,111.0,0.0,0.64286,0.42857,,-0.23676,,,,-0.00585,0.14172,0.03608,0.35
1767365280,2026-01-02T14:48:00,V2,DISC,flip,1,-13.4,-1.0007,0,12.6,0.38556,0.06287,42.50952,53.13651,22.3456,78.715,43.86,32.68,414.07208,1294.05788,3693.12414,10.60971,5.69539,3.93488,0.06897,0.06095,0.05756,-0.02507,12,31,1.58333,92.0,0.0,0.64286,0.42857,,-0.23676,,,,-0.00585,0.14172,0.03608,0.35
1767371400,2026-01-02T16:30:00,V2,DISC,cont,1,22.2955,0.8,1,12.6,0.35319,0.10047,88.4746,110.59286,13.90804,107.93,53.125,35.675,439.23529,1800.67173,4399.68792,9.25455,7.88338,4.93793,0.26969,0.03857,0.05941,-0.01393,11,28,1.54545,92.0,102.0,0.64286,0.42857,,-0.23676,,,,-0.07226,-0.0065,-0.21175,0.25
1767586800,2026-01-05T04:20:00,V2,DISC,flip,-1,8.091,0.8,1,12.6,0.3472,0.27649,32.10714,40.13413,4.91779,37.57,58.32,36.29,147.85518,1438.86257,3863.59251,3.45552,5.84196,4.00966,0.24292,0.11087,0.03755,-0.08635,1,4,3.0,85.0,0.0,0.64706,0.41176,,-0.26588,,-0.35434,,-0.18113,-0.06583,0.06818,0.25
1767606480,2026-01-05T09:48:00,V2,DISC,flip,1,7.9989,0.8,1,12.6,0.34483,0.30202,31.74127,39.67698,4.49748,40.51,37.775,36.54,167.67923,952.22232,3952.88155,3.40377,3.39325,4.03944,0.19902,0.0156,0.03709,-0.00836,2,6,2.0,85.0,0.0,0.66667,0.44444,,-0.20666,,-0.25814,,-0.12617,-0.03577,0.1241,0.25
1767617640,2026-01-05T12:54:00,V2,DISC,flip,-1,-2.003,-1.0232,0,12.6,0.33084,0.2491,6.21429,7.76825,5.45464,43.635,36.5,38.085,131.68331,905.02417,4054.3875,2.92473,3.38846,4.12137,0.28137,0.03677,0.0424,-0.03064,3,11,2.66667,186.0,0.0,0.68421,0.47368,,-0.15368,,-0.17675,,-0.14084,0.07599,0.19923,0.2
1767619260,2026-01-05T13:21:00,V2,DISC,cont,-1,3.8915,0.8,1,12.6,0.32655,0.26098,15.44286,19.30317,5.20807,45.4,38.785,38.585,153.95859,921.13453,4089.5234,3.09432,3.42167,4.13537,0.17792,0.01566,0.04386,0.00836,3,12,3.0,186.0,27.0,0.68421,0.47368,,-0.15368,,-0.17675,,-0.14084,0.07599,0.19923,0.2
1767623700,2026-01-05T14:35:00,V2,DISC,cont,-1,-8.7524,-1.005,0,12.6,0.31814,0.12231,27.64841,34.56032,11.14545,53.725,43.635,39.605,234.7111,1040.31492,4212.19131,4.7706,3.79931,4.21298,0.11179,0.01427,0.03298,-0.03064,3,14,3.66667,186.0,101.0,0.68421,0.47368,,-0.15368,,-0.17675,,-0.05733,0.09753,0.25728,0.2
