det_utc,dir_trade,burst_btc,thr_btc,d0_h30,d0_h60,d0_h120,d0_h300,d5_h30,d5_h60,d5_h120,d5_h300,d10_h30,d10_h60,d10_h120,d10_h300,d20_h30,d20_h60,d20_h120,d20_h300,d30_h30,d30_h60,d30_h120,d30_h300,d60_h30,d60_h60,d60_h120,d60_h300
2026-08-22T05:10:56.382,1,97.614,95.148,-78.46,126.68,534.02,676.67,-217.6,338.54,595.94,661.55,-64.0,242.25,489.45,411.89,144.23,607.54,720.27,550.35,81.54,323.09,277.52,126.75,244.59,408.87,300.21,-7.15
2026-08-28T16:17:28.788,1,22.27,22.199,-51.68,-33.54,28.58,-122.55,-34.16,6.9,30.68,-89.58,1.59,-8.17,51.55,-117.57,-18.72,-81.84,11.1,-111.0,-19.48,-68.12,9.37,-121.56,-60.64,51.48,191.41,-345.29
2026-08-28T16:24:08.675,1,22.872,22.4,-170.76,-283.45,-159.79,275.51,-48.21,-295.34,-82.39,359.25,5.98,-251.88,-31.93,446.82,-42.86,-265.36,-46.4,441.02,-102.66,-76.32,15.8,400.52,15.63,92.07,214.42,594.74
2026-08-30T21:01:48.632,1,18.365,18.039,-64.02,66.19,100.5,111.35,-141.07,-5.06,32.11,33.39,-114.26,-20.97,50.56,46.72,71.18,0.72,78.95,52.67,112.23,110.59,173.71,174.85,-19.62,22.31,71.6,65.53
2026-08-30T23:29:37.333,1,19.151,18.707,-7.73,96.04,151.82,65.15,-97.52,84.99,135.29,60.79,5.32,120.83,182.22,129.18,27.19,140.69,176.84,61.18,76.48,124.22,107.81,-30.99,20.45,43.78,-57.21,-131.54
2026-08-30T23:47:29.878,1,19.354,19.34,131.13,34.52,206.22,486.86,90.17,38.64,183.22,449.39,16.15,-18.3,106.45,354.45,-22.98,17.14,137.44,384.43,-101.7,31.99,159.55,392.66,106.4,159.7,326.16,445.46
2026-09-01T18:44:29.653,1,45.236,21.045,-17.7,-66.34,-139.95,129.71,-38.64,-168.85,-131.88,116.1,-46.42,-193.12,-126.07,102.74,-104.3,-202.28,-102.07,120.31,-72.54,-158.86,-30.11,191.53,-109.67,-85.61,8.24,315.01
2026-09-03T12:32:14.311,-1,28.15,21.962,173.35,102.98,150.11,148.0,100.72,2.66,25.24,55.23,30.76,-53.36,-37.07,-5.58,-33.45,-120.19,-99.32,-60.38,-82.37,-44.78,-75.88,-87.84,18.91,35.13,122.13,-51.89
2026-09-03T12:52:22.126,-1,24.671,21.963,-4.38,-50.53,-83.48,-223.46,-4.91,-42.2,-67.04,-224.7,-9.58,-71.75,-93.12,-225.46,-28.87,-55.36,-106.87,-220.5,-58.15,-64.23,-94.35,-281.08,-18.08,-44.95,-52.29,-251.01
2026-09-03T14:23:03.439,-1,22.599,21.977,-79.27,-53.34,-144.97,-354.01,-49.98,-80.32,-132.97,-350.02,-70.76,-96.59,-175.42,-389.08,-38.03,-121.42,-197.86,-334.11,1.0,-59.92,-145.21,-331.63,-96.09,-93.44,-167.16,-308.04
2026-09-03T14:30:37.796,-1,22.784,22.207,-0.69,-42.68,-84.16,-86.78,7.29,-62.07,-105.57,-52.76,79.67,-6.41,-112.3,-9.22,14.6,-42.34,-80.02,-61.39,-43.64,-66.41,-146.75,-125.05,-34.77,-56.63,-54.13,-33.66
2026-09-03T14:48:18.109,-1,22.809,22.803,-115.49,-303.4,-307.64,-77.27,-132.99,-243.89,-282.1,-54.29,-153.92,-319.15,-212.57,-88.76,-180.48,-144.15,-88.39,50.6,-209.06,-244.49,-62.43,15.05,-47.43,5.49,156.99,170.65
2026-09-03T15:01:25.186,-1,33.673,31.618,138.33,-69.15,-6.33,8.03,-58.35,-215.64,-165.57,-97.51,-52.22,-197.53,-85.68,-41.31,-215.81,-311.63,-245.02,-112.8,-219.48,-222.5,-206.5,-62.93,-15.02,50.82,68.02,187.61
2026-09-03T15:52:34.943,-1,33.941,33.941,77.78,52.02,78.65,-52.97,4.22,0.39,-46.2,-161.39,52.06,51.11,-8.89,-44.8,45.05,47.3,-13.75,-52.67,-36.83,5.71,-51.76,-105.82,30.54,20.54,-29.32,-120.91
2026-09-03T21:30:14.306,-1,124.474,33.543,12.61,7.82,-16.23,-16.91,-72.2,-23.49,-96.9,-10.69,-88.25,9.17,-126.18,49.2,-53.13,-33.1,-116.41,-20.08,-14.2,-10.13,-100.55,-49.2,-6.65,-36.05,-84.36,59.47
2026-09-03T21:35:25.786,-1,59.649,36.586,-88.28,22.96,-45.32,212.58,-7.58,75.26,-13.46,259.17,20.49,88.9,5.67,252.64,76.54,160.57,114.48,271.64,99.24,75.22,97.02,233.14,-36.02,-80.28,17.12,163.84
2026-09-09T22:09:06.802,1,42.53,30.93,22.31,79.19,110.45,63.2,45.81,139.91,146.04,84.1,45.38,164.41,174.96,95.22,30.36,121.03,118.48,64.95,48.72,101.9,88.19,25.51,45.02,19.26,70.61,-17.74
2026-09-10T12:47:06.147,1,56.195,31.3,53.88,73.0,148.83,153.12,127.21,152.76,177.97,202.58,126.7,181.84,200.93,205.43,107.87,101.06,151.42,101.34,7.12,84.06,84.9,66.99,64.94,62.14,133.7,37.27
2026-09-11T12:30:19.610,1,25.331,22.149,422.4,135.21,467.18,1053.96,222.41,82.65,328.88,832.3,148.13,-70.86,292.75,810.2,-303.93,-138.14,37.53,415.09,-299.81,-79.52,199.39,488.35,207.67,319.97,533.46,922.16
