source,era,id,open_time,kind,dir,lot,entry,sl,tp,stop_dist,narrow_stop,shadow_state_before,rolling20_before,close_time,exit,pnl,pnl_002,lot_cr,pnl_cr,lot_ca,pnl_ca,R,cum_R
live,candleclose,134888858,2026-09-11T18:55:01+00:00,FLIP-BOS,SELL,0.02,76942.78,77246.99,76704.31,304.21,0,NORMAL,-3.78,2026-09-11T19:24:23+00:00,77246.99,-6.08,-6.08,0.01,-3.04,0.01,-3.04,-0.999,-0.999
twin,candleclose,twin0,2026-09-11T18:55:02+00:00,FLIP-BOS,SELL,0.02,76945.5,77246.99,76704.31,301.49,0,NORMAL,-4.1,2026-09-11T19:24:25+00:00,77247.34,-6.04,-6.04,0.01,-3.02,0.01,-3.02,-1.002,-1.002
live,candleclose,134897870,2026-09-11T20:03:01+00:00,FLIP-BOS,BUY,0.02,77394.77,77257.16,77504.86,137.61,0,NORMAL,-4.11,2026-09-11T20:32:11+00:00,77257.16,-2.76,-2.76,0.02,-2.75,0.01,-1.38,-1.003,-2.002
twin,candleclose,twin1,2026-09-11T20:03:02+00:00,FLIP-BOS,BUY,0.02,77394.77,77257.27,77504.77,137.5,0,REDUCED,-16.73,2026-09-11T20:32:13+00:00,77250.14,-2.89,-2.89,0.02,-2.89,0.02,-2.89,-1.051,-2.053
twin,candleclose,twin2,2026-09-11T20:48:53+00:00,TOUCH,SELL,0.02,77290.85,77443.1,77169.05,152.25,0,REDUCED,-11.17,2026-09-11T21:56:04+00:00,77169.05,2.44,2.44,0.01,1.22,0.01,1.22,0.801,-1.252
live,candleclose,134901922,2026-09-11T20:50:01+00:00,BOS,SELL,0.02,77258.41,77443.1,77110.66,184.69,0,NORMAL,4.05,2026-09-11T21:58:36+00:00,77110.66,2.96,2.96,0.01,1.48,0.01,1.48,0.801,-1.201
